"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"c4254c3aa5b15b249cd2eddfd2ff965899ed548a","2018-09-28T13:08:46Z","7","42","21","63","1","1","0"
"f69dbb249e56b560aecc4fb789e4421c4a2bd56c","2018-09-25T15:16:32Z","0","0","0","0","0","0","0"
"701d8d8d13c108cb02e9f7bf73dcdf8120a0c3fd","2018-09-14T11:12:48Z","1","1","1","2","1","0","0"
"32604f1f336e1f9621984df05ba640d789459751","2018-09-14T10:10:54Z","1","4","1","5","1","0","0"
"218dc162cdce822e2983bde186400f7496719aac","2018-09-11T09:21:22Z","2","1","58","59","1","0","0"
"0df58e1ad282c1d54c048f75cea23013e87f9d6e","2018-09-11T07:40:01Z","6","6","6","12","1","1","0"
"92068d25e6904ab443ce90264cd7cea8d731b06d","2018-09-11T07:38:49Z","6","6","6","12","1","1","0"
"f54525dd0b5c7329c55b5f50f73807627e7fa8fd","2018-09-11T07:36:53Z","0","0","0","0","0","0","0"
"fb22d4158ec528a585abc4a2ad46179950ea7e41","2018-09-11T07:01:26Z","1","0","8","8","1","0","0"
"a737f5eed7e7eaca709819f4ef82df863af459c1","2018-09-10T12:19:26Z","2","145","0","145","1","0","0"
"1547b3e644960fcb11ff61be468fe5c0b06ff570","2018-09-10T10:07:58Z","0","0","0","0","0","0","0"
"3bf1ce4fd9117d41f312c3009c149288c6f07b99","2018-09-10T10:07:21Z","0","0","0","0","0","1","0"
"f00afdb763c883890227a26cfb7455a4013ff661","2018-09-06T10:18:16Z","1","1","1","2","1","0","0"
"3be2efcc4308fee45c8ba642b6af35fcc6a0e175","2018-09-06T10:12:42Z","3","26","5","31","1","0","0"
"c308760b84c5efef6ec8c0ab599dafaf8940da0d","2018-08-28T14:25:38Z","0","0","0","0","0","1","0"
"e8ba32375e9c60c6a03006e3172ac9e6e791d70f","2018-08-28T14:18:34Z","14","129","134","263","1","0","0"
"7a8ca9479d8efdec8c74aa0c0f53d4f5fe568edf","2018-08-28T12:18:08Z","13","607","51","658","1","0","0"
"434fc4cc41a41c41af8c33870b19118a470ac3f5","2018-08-22T17:01:36Z","1","1","1","2","1","0","0"
"a88c391ab620dfd820489f1d030ca22d8d1a1b31","2018-08-22T16:09:12Z","2","145","0","145","1","0","0"
"b867f072a2818ffba37095cd83b964e4b7488eda","2018-08-13T15:36:58Z","4","0","240","240","1","0","0"
"7608d4312ee2cb1c0aab11a5c9bc520671559eaf","2018-08-03T14:06:31Z","1","1","1","2","1","0","0"
"55fbe2f6f3d8e2df50953956de51644812d31ce7","2018-08-03T14:03:36Z","15","177","66","243","1","0","0"
"10ba362b7c0fe567fbfd8f061a02d39ae4c61933","2018-08-03T13:29:04Z","1","29","21","50","1","0","0"
"b1afe2ffc3648908f5114b933243ec3b478aa1f9","2018-07-27T15:37:02Z","4","281","8","289","1","0","0"
"d7597b46f1384c7308ac28429d9a955ddeb71649","2018-07-27T15:36:49Z","3","241","6","247","1","0","0"
"3a9ad1227c57c2cb26861ba9864a39155da27e55","2018-07-27T15:36:24Z","2","67","33","100","1","0","0"
"e46a55cca0bf2a4aee5488c32388d160ff65ff1d","2018-07-27T15:36:10Z","2","4","4","8","1","0","0"
"f4b9b8edf487f5bb59070c1a62702f6605a62e52","2018-07-27T15:35:52Z","2","14","0","14","1","0","0"
"f96b6768cd2fcdb1f242e8de62e6737d4d0c4b02","2018-07-26T19:23:16Z","3","3","3","6","1","1","0"
"3e765687be1425f647bbd66a51a4b43a128cb970","2018-07-26T19:17:53Z","11","259","180","439","1","0","0"
"90c12df78c44e97f4d6a866dedb43a23597d9b0b","2018-07-25T11:42:12Z","6","171","8","179","1","0","0"
"6787f8c50a776b4a39b1da9014021e1a84d6f93e","2018-06-26T08:12:35Z","1","29","21","50","1","0","0"
"7a635daf2131e00fc72a5a400806ac8af1e6f203","2018-05-23T10:53:35Z","9","0","118","118","1","0","0"
"72723ba99050eeca15a54fa8c8cf7294cc2bc66f","2018-05-23T10:23:18Z","6","6","6","12","1","1","0"
"963c00878b2f049564bdf99ad6c76fbe53f66d8f","2018-05-23T10:23:10Z","6","6","6","12","1","1","0"
"b30c11ff8497d983e84d1dd78f365b6b9c2ae83f","2018-05-23T10:22:07Z","0","0","0","0","0","0","0"
"57f0e8f8f1c73fcb12b0a6b5eaa7d709287758da","2018-05-23T09:30:07Z","1","1","1","2","1","1","0"
"68c014982490f6a08dc27569fb7dbe3a914b87b9","2018-05-23T09:07:27Z","2","30","27","57","1","0","0"
"0e4af94b38450cc3ab0dbf422818cd6faccd853b","2018-05-23T08:56:36Z","2","140","0","140","1","0","0"
"60d37feead4a652c59f1a8a9bb2499cbf3c98881","2018-05-18T17:00:34Z","2","140","0","140","1","0","0"
"ae143539daa079cac123e8c69a2fdc237fa77e14","2018-05-18T16:40:29Z","1","18","19","37","1","0","0"
"e719d25d40d3ddf3fbc64a3c241261eabb04bd9b","2018-05-18T15:58:20Z","3","27","28","55","1","0","0"
"0084b13bdd5c396a6210a4536d75cd0c1bbd1d95","2018-05-18T15:33:30Z","2","84","1","85","1","0","0"
"a8b06d1d81e68dbd6cfbeaa43f605f7ae253ce92","2018-05-18T15:32:47Z","54","55","55","110","1","0","0"
"16de05a34c1c9bf63bbb48f8f2ddfbf1de0422f7","2018-04-28T21:48:53Z","6","171","8","179","1","0","0"
"47c073250bb3227fd666be0f523e4c6d08c86f8a","2018-04-18T11:55:19Z","23","100","399","499","1","0","0"
"4b46ba4043fa6c09af2a3e70b2828cf13deca29c","2018-04-18T11:24:42Z","6","6","6","12","1","1","0"
"da982dd5409304e8ba4e6906e97955a6bdb8ba12","2018-04-18T11:24:27Z","6","6","6","12","1","1","0"
"23e4ed3083d5f2e6fb1a8deb8716ec6eb78f0419","2018-04-18T11:23:00Z","0","0","0","0","0","0","0"
