"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"bbfa7b8d2ec9b324500a5d3663ad9ae852ee6efc","2018-09-13T17:41:12Z","1","1","22","23","1","0","0"
"3f35e6a3a8869f7c088c52102b6b928ddf82b03d","2018-09-13T14:11:16Z","1","1","1","2","1","0","0"
"ba7fba37ce282ec41201204d41bd001ca32e9bea","2018-09-13T14:10:29Z","1","5","2","7","1","0","0"
"9758b7a5dfd39b30ed9fdaf8afd58122143dfd79","2018-09-13T14:09:52Z","1","5","0","5","1","0","0"
"0bfbadca0f138a2897ea49d71ca019f5d8700acf","2018-08-15T14:30:30Z","1","16","1","17","1","0","0"
"6d96e09c83c2b71aa5262ae26f1e8c035008d62e","2018-08-14T13:36:12Z","1","55","66","121","1","0","0"
"28ec8fcea150d79905fd8c705597a409b8127f0e","2018-08-14T13:27:38Z","2","254","2","256","1","0","0"
"da8d0879b864cd57f9408305ca8a2cd7a1ac678f","2018-08-14T13:05:37Z","0","0","0","0","0","0","0"
"54675030b0752a5e6dfef11a39c7749260422a57","2018-08-14T12:38:19Z","1","4","3","7","1","0","0"
"492c4f7f0a4b3fed7dbb72ddc753e36e06e4e2f2","2018-08-02T23:53:20Z","1","4","3","7","1","0","0"
"27f1d0fa139450378006407466d23cf9acde0ac3","2018-07-29T06:46:39Z","2","73","50","123","1","0","0"
"fbd7245607ed9377295f0b93fc436472eaddbd33","2018-07-29T06:46:39Z","1","8","8","16","1","0","0"
"db9f0068c116441906c24c2b0504c6bd33db1f51","2018-07-29T06:46:39Z","2","38","14","52","1","0","0"
"ac45ba24762aa75ab0ddd9d04080a6322c662bdf","2018-07-29T06:46:39Z","2","50","50","100","1","0","0"
"6143b46b3f151173b3f7b378df48f408f1aea026","2018-07-29T06:46:39Z","3","215","10","225","1","0","0"
"ff23a4487067fa688544e40df4d8ef83b27fc149","2018-07-17T13:18:10Z","6","244","6","250","1","0","0"
"6714140f6481bc4891195acd0c919c382f3c8b6e","2018-07-17T04:30:12Z","6","244","6","250","1","0","0"
"8b40aa37105861699dbbddb5b76a43e915338e07","2018-07-17T03:30:57Z","2","15","2","17","1","0","0"
"44e67dff023289072617bd52f556342481cfd7cb","2018-07-17T02:58:06Z","2","65","1","66","1","0","0"
"8c65c38bc506502ae67e4212a8501768f7a431f6","2018-07-16T21:56:05Z","2","65","1","66","1","0","0"
"5406f306e436a734aa9158a473dcac683cedef2a","2018-07-16T17:04:47Z","0","0","0","0","0","0","0"
"a5b2baf733e1eef16bd80c8179d2a9cfb2d6def0","2018-07-16T16:09:20Z","0","0","0","0","0","0","0"
"ca6e4a0028d5035e53611ea7d96693e8d04f87e6","2018-06-28T02:50:02Z","3","5","5","10","1","0","0"
"21a6a0ea762f2bb932d146777dbbabfe241f640d","2018-06-28T02:38:00Z","2","2","2","4","1","0","0"
"05a93e7951f93f9370b16cf0461aaab4a1e77c84","2018-06-28T00:35:43Z","1","87","9","96","1","0","0"
"f068e9ea81a83e5c6f2223e9b1ec9ca4ab56cd29","2018-06-27T08:28:18Z","2","4","4","8","1","0","0"
"cd6179d737b1f6e862acc79bd435ed852593d264","2018-06-21T04:46:41Z","1","6","6","12","1","0","0"
"2d574184c6268fba65f5f09951438062695b2ab0","2018-06-21T02:20:38Z","1","6","6","12","1","0","0"
"018186c6c525dfd0f567e4a37b3a94016e54ab4c","2018-06-21T02:15:50Z","1","87","9","96","1","0","0"
"514098fa6829f7985d1d978398c61f635a224d59","2018-06-14T01:40:52Z","1","1","1","2","1","0","0"
"2db1a291fa259ae4d2769604ab8e21337ed6ef57","2018-06-14T01:40:24Z","2","2","2","4","1","0","0"
"a650e17e78fdc0edbd37b5a84b31cccd6e9c3336","2018-06-02T02:04:08Z","3","316","135","451","1","0","0"
"29014701921314bdf5ccb9552abb23c7fb88b544","2018-06-02T02:03:56Z","34","554","144","698","1","0","0"
"fb43cda467964a7f35e9f6f5bb3f703f4ec50aaa","2018-06-02T02:01:30Z","2","72","10","82","1","0","0"
"f7ba003ac642c2e1e9e55376b654a9529b27d236","2018-06-02T01:44:04Z","2","97","40","137","1","0","0"
"87f247c30aa01f0274894b143e02fd77f3270305","2018-05-31T02:34:38Z","4","14","14","28","1","0","0"
"692564c9a0ec745a065f7c6544a0fed0cc20d6ac","2018-05-30T00:01:35Z","3","16","16","32","1","0","0"
"c37d9a45d79a7da46b7dafee40734f0e54d11d13","2018-05-29T09:28:05Z","4","14","14","28","1","0","0"
"c43424ea458f753fbd7412c1015cd4fc3294f938","2018-05-29T09:14:37Z","3","16","16","32","1","0","0"
"d61c8847d5f876ea7efeb3adaa5334d86b50ae22","2018-05-24T02:37:05Z","0","0","0","0","0","0","0"
"28475d6cd0872f057167a776fb4ee8d90f052e07","2018-05-23T16:18:15Z","0","0","0","0","0","0","0"
"f7bdef6fce3a7552a26c5da344063046daaead99","2018-05-22T01:42:36Z","3","224","18","242","1","0","0"
"ebda8b086f988dccaa7bc2b945f3c124d24b53b7","2018-05-22T01:36:19Z","0","0","0","0","0","0","0"
"bbd97e7855f54132ea5d84c3cf479b6e79efadb1","2018-05-21T06:08:14Z","1","1","1","2","1","0","0"
"8a55ae0c37b18f3cbcdd5f4e0ad63975e6918952","2018-05-21T06:08:14Z","2","45","7","52","1","0","0"
"c61d6d7a6d858eebb0d27769558c369a3e8cb795","2018-05-21T06:08:14Z","2","183","15","198","1","0","0"
"f8ef88fccacc0a5065df4125932132f06892665e","2018-05-20T22:25:52Z","0","0","0","0","0","0","0"
"d694b475ab77f9b2ada4fe4d43939a4415ab0168","2018-05-20T22:15:11Z","9","27","20","47","1","0","0"
"8acc6181e0ae1d4ca557e7d9dbf0e9d8fc07999d","2018-05-15T01:57:33Z","0","0","0","0","0","0","0"
"f7634a86bab5cf7575e8f1b403999cf30ef1350e","2018-05-15T01:25:15Z","0","0","0","0","0","0","0"
