"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"964a66fc1c57042a37301ec426ffef266bfc0f56","2017-07-14T06:46:09Z","0","0","0","0","0","0","0"
"65daeb2369bf6aa5aba983a2c443423bbf16361f","2017-07-14T06:14:06Z","0","0","0","0","0","1","0"
"45fd4fbdd8401ea63c30f6bbda266afd99df751f","2017-07-14T06:13:55Z","0","0","0","0","0","1","0"
"84830a463ba6799db4421dafa90b8933248a42ef","2017-07-14T06:03:16Z","0","0","0","0","0","1","0"
"3c0808b6f954421f59d242fa5dac61858ab5fe4c","2017-07-14T05:54:54Z","0","0","0","0","0","1","0"
"05f6a2afd2bd2ea8f811c818d4099246b5fa1f32","2017-07-14T05:23:34Z","10","395","317","712","1","1","1"
"eeadb50aa92bdb0a25b3c39b145b62d2cdd04ef0","2017-07-14T05:22:44Z","3","18","9","27","1","0","0"
"6e5fab39def5012e84a46e7de02b8ebe7bf4048d","2017-07-14T05:20:39Z","5","46","27","73","1","0","0"
"ad4449bfeeb2a3e7dd60db2301bf4691d0841cb7","2017-07-14T05:11:27Z","1","1","0","1","1","0","0"
"2ec4167eb89d7b6c8c2cf7396ff650fee3c369ba","2017-07-14T03:40:22Z","3","62","14","76","1","0","1"
"3d98ed9fe9c524fc7cf24235197b8ae3afb159a3","2017-07-14T02:50:25Z","3","6","20","26","1","0","0"
"9b5c68434933b7fbcd9a28bf0af85a26f702a34d","2017-07-14T02:25:20Z","4","46","15","61","1","0","0"
"7279919ef96895893035f2db731baaca97afbc92","2017-07-14T02:24:43Z","6","279","213","492","1","0","0"
"9d24cd00c7c9e5e10ed9139c854383e5af34e245","2017-07-14T00:36:16Z","0","0","0","0","0","0","0"
"072b585973604f70b220f9940cf36654b497ae7a","2017-07-13T23:10:56Z","0","0","0","0","0","0","0"
"06068654c3475b305e744a6ea847301965ee560f","2017-07-13T15:09:44Z","1","33","56","89","1","0","0"
"b1935ea6b30213eab5d566501f3feeb1bbd4776c","2017-07-13T14:00:21Z","0","0","0","0","0","0","1"
"29b0f36542ea2ef6bd271e5ec68df13d69086d19","2017-07-13T13:59:50Z","1","9","12","21","1","0","0"
"f6bb7678b6f249ead1811276e200a9778a0441e1","2017-07-13T12:54:33Z","1","10","4","14","1","0","0"
"3f4890da1422bcd2290b9b2193d7ec6da806645c","2017-07-13T12:54:08Z","0","0","0","0","0","1","0"
"14c7877fa26725017c1ed03c32018c1a575279d9","2017-07-13T07:48:40Z","3","33","0","33","1","0","0"
"d29b4fb4f74f19eea1b5b2ce71adf45e76e9be25","2017-07-13T06:48:05Z","0","0","0","0","0","0","0"
"111b9b566fadba5d559e76f41e476a1eabfe29fd","2017-07-11T17:55:12Z","0","0","0","0","0","1","0"
"dbd9553732477424114ea1ac20709bb85234a00e","2017-07-11T17:54:59Z","0","0","0","0","0","1","0"
"9312e312d686108db52a4d849b7be2a70b81afe6","2017-07-11T17:36:47Z","0","0","0","0","0","0","0"
"d0b7d037179f3958c882fdb219713cd0cb238f31","2017-07-11T17:28:56Z","0","0","0","0","0","1","0"
"d04874340b220ea5e9c01c11c017abcbc06e0e06","2017-07-11T17:28:28Z","0","0","0","0","0","1","0"
"b031572ddb5400f9fb71fd6bc9e77078ea3fcbc1","2017-07-11T16:48:40Z","1","1","1","2","1","0","0"
"4a05786563a1f723992575c04071edface484dd6","2017-07-11T16:43:54Z","0","0","0","0","0","1","0"
"f3e3c7446c5f35e44d00e01ecebc14e744b04dc8","2017-07-11T16:36:18Z","7","94","30","124","1","1","1"
"4811368854a8599eac0bf798ce28fa262cce210f","2017-07-11T16:09:11Z","5","47","5","52","1","0","0"
"2925cdb4e36980f6819f3047e8844609a8988ccf","2017-07-11T13:03:56Z","0","0","0","0","0","0","1"
"302827ae99df1bb09eaee62739293c82adc87012","2017-07-11T12:57:01Z","0","0","0","0","0","0","0"
"9d6947a015d06851e3cfdaf2397b80cefe161896","2017-07-11T12:54:48Z","4","47","25","72","1","1","0"
"229a820bf5104e1b92eaabfb4e4f0dfbccc255d2","2017-05-28T10:01:18Z","4","46","15","61","1","0","0"
"8f8c138a6152c6cc6b9d0c60eb7e8cd00d17963c","2016-12-12T09:09:46Z","0","0","0","0","0","1","0"
"fcee9964188de49752923816114a3f9ed990c429","2016-12-12T09:09:38Z","0","0","0","0","0","1","0"
"eb505080a498d7ec1541f2f11b652cfdd37000c6","2016-12-12T09:01:16Z","0","0","0","0","0","0","0"
"42c0d30031046004c6cb07d4f036e3e365371084","2016-12-12T08:59:49Z","0","0","0","0","0","1","0"
"a40cef698506d7168160c6527758ae4e9b394d2f","2016-10-22T03:01:38Z","0","0","0","0","0","1","0"
"582fbe4a7d2f68c83f1737de4e1cdcdbac08f8b4","2016-10-22T03:01:27Z","0","0","0","0","0","1","0"
"b3e9b39d304ebc07ec842742e1e88c14ff6d4d9d","2016-10-22T02:50:34Z","0","0","0","0","0","0","0"
"2510bab8e9033216eb8bed6e09f65b66e7db5b3d","2016-10-22T02:50:14Z","0","0","0","0","0","1","0"
