"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b836e3afc424fdb1db06f5e088ab179e611c63e9","2018-09-25T18:21:01Z","0","0","0","0","0","0","1"
"cd467657fc139c01074956aeca33bb57ac0b87bf","2018-09-25T18:21:00Z","0","0","0","0","0","0","1"
"748c41c723cef0f11a0b90378773dafb3b51b4a0","2018-09-25T18:21:00Z","0","0","0","0","0","0","1"
"14e7bbe8ac0425bb04806b0c1ec6a7286801b1b4","2018-09-25T18:21:00Z","0","0","0","0","0","0","0"
"f78cd44af61b9ed99a04149b25f6c0bb1029e165","2018-09-25T18:21:00Z","0","0","0","0","0","0","1"
"273dde50738358e27873507e6b4a332ea1ec5943","2018-09-25T18:21:00Z","0","0","0","0","0","0","1"
"abb68832ff18c47f502cd2ab097b5b4b9fc3a509","2018-09-25T18:21:00Z","0","0","0","0","0","0","1"
"c003387eb63a644d9e887dcb7799d962ec27310c","2018-09-25T18:21:00Z","0","0","0","0","0","0","1"
"580476aa07868b48bf53f9a04e5daba97d2862c2","2018-09-25T18:20:59Z","0","0","0","0","0","0","1"
"3daa0584ea72eb3ad117c4efb98cbb1f2a5d1070","2018-09-25T18:20:59Z","0","0","0","0","0","0","0"
"90c9dee7d1cd167658bb6be1a7554f9883d9b0c0","2018-09-24T18:20:59Z","0","0","0","0","0","0","0"
"4aebb15d2085d22ac3b8b1818f0ffcb7a1c1047a","2018-09-24T18:20:59Z","0","0","0","0","0","0","0"
"e35c036d33e42abde95a7508ec5392f11fbc1783","2018-09-24T18:20:59Z","0","0","0","0","0","0","0"
"afe68c0b0dea70c0e53227a52797bf736e1a645b","2018-09-24T18:20:59Z","0","0","0","0","0","0","0"
"836e217a3928db13643cdb0ec0cdbc896ed78f59","2018-09-24T18:20:59Z","0","0","0","0","0","0","1"
"bbbc5847db9d04f26947a651bee75695709dec83","2018-09-24T18:20:58Z","0","0","0","0","0","0","1"
"fe80ff9966d01b1cf78f64ea22a8134bb0dc9429","2018-09-24T18:20:58Z","0","0","0","0","0","1","0"
"04cc1592790ad76f86706ed36160f3e5ca480f7a","2018-09-24T18:20:58Z","7","40","16","56","1","0","0"
"04963a43f10710b0992c1ef708183f05723c7025","2018-09-24T18:20:58Z","8","276","40","316","1","0","0"
"1cacbb1d2ed72d720058580746d678ba8da1b453","2018-09-24T18:20:58Z","29","640","382","1022","1","0","0"
"cfba7fcb6500d8217bd81ecfcb8f47ec48ad55f2","2018-09-24T18:20:58Z","52","933","189","1122","1","0","0"
"326b30334f0f5c0bb6a9565a3f6b367695bb1087","2018-09-24T18:20:58Z","7","243","1","244","1","0","1"
"6b71b52fde2bc496ee84c87b79a4a186e8f78774","2018-09-24T18:20:57Z","24","997","292","1289","1","0","1"
"e5f73ecf404ab7342a772fd5630835c7893e0c84","2018-09-24T18:20:57Z","3","36","39","75","1","0","0"
"1241f18a7b389336ce1eb98fe024f8db0bc5c627","2018-09-24T18:20:57Z","19","188","131","319","1","0","0"
"3e5ce7c6fc3ccffc09ff6cb630b641c3ce101432","2018-09-24T18:20:57Z","0","0","0","0","0","0","0"
"aac6c7dcb408acb6b02c2b4bffaf4081dd25083e","2018-09-24T18:20:57Z","0","0","0","0","0","0","0"
"8602f637b0af45c58b83e7bf73e12aefafc1293c","2018-09-24T18:20:57Z","1","0","2","2","1","0","0"
"d2410ce9f3d79f1049c9981df9c349a3858a89e7","2018-09-24T18:20:57Z","0","0","0","0","0","0","0"
"64d76164768f4b74d6bdc714191f65567baf8d10","2018-09-21T18:20:55Z","0","0","0","0","0","0","1"
"d5fbab940ffbdc45df0c5a078a340caaf9fea956","2018-09-21T18:20:55Z","0","0","0","0","0","0","0"
"fbf80ad4a51f1c3c267c0267345a14881bfc614f","2018-09-21T18:20:55Z","0","0","0","0","0","0","1"
"5f29e7fbfc5d643b96cef7bef6025315c709c1ae","2018-09-21T18:20:54Z","0","0","0","0","0","1","0"
"ee5ca0ec3de7132ce2ab29df13d1049b84a18e92","2018-09-21T18:20:54Z","0","0","0","0","0","0","0"
"8123665684c3ea60147c3288e60378ecae65aacc","2018-09-19T18:20:55Z","0","0","0","0","0","0","0"
"bcf76ab7c74f6121ddc44f5dd31f109fe0efbc42","2018-09-19T18:20:55Z","0","0","0","0","0","1","0"
"7d7bfd09c1bdbe753899265ef15212b0e4682c32","2018-09-19T18:20:55Z","0","0","0","0","0","0","1"
"4f5e9d9f87a37dc04fa147667afee85743cab643","2018-09-19T08:54:37Z","0","0","0","0","0","0","0"
"8442693da0375852b57e6a43fdb5774c48be04c3","2018-09-19T08:54:37Z","0","0","0","0","0","0","0"
"fdf0f2f89300342c932ab23b71c895866c7d4834","2018-09-19T08:54:37Z","19","61","186","247","1","1","0"
"4013c04fad08403ec9feaa406eb69f2e9dc6d745","2018-09-19T08:54:37Z","1","2","2","4","1","0","0"
"4d07af93ef1cc3665e102f8374095ea65cc4e519","2018-09-19T08:54:37Z","0","0","0","0","0","0","0"
"7c794b63a150d22bf78ab8b3359baf66761588b8","2018-09-19T08:54:37Z","0","0","0","0","0","1","0"
"d26b9987f51a4866933b908dcc1d9a616994d28f","2018-09-19T08:51:43Z","0","0","0","0","0","0","0"
"92b3cb4a98fb8ecc6d1583fd35514805cab21fba","2018-09-19T08:51:43Z","3","3","3","6","1","1","0"
"3f671cfcace8552a32b78a9e3327394d85f863ba","2018-09-19T08:51:43Z","1","2","0","2","1","1","0"
"6ab822a9d79091837ee96ff27317597bbb6c6e5e","2018-09-19T08:51:42Z","1","76","0","76","1","0","0"
"adb7939d170496d34efe09c71daceecaedd42e8c","2018-09-19T08:51:42Z","9","47","48","95","1","0","0"
"3e857050df9d80e3e1e2cf703f4b30d85489590b","2018-09-19T08:51:42Z","10","234","7","241","1","0","0"
"66855e8da8a901b2048797c79639b98a072be544","2018-09-19T08:51:42Z","0","0","0","0","0","0","1"
"f8d65ba2d9c01d19080e401e03eac12a55c4d4eb","2018-09-19T08:51:42Z","0","0","0","0","0","0","1"
"8af697d69441500c42dfc5d8954d44314d65a00b","2018-09-19T08:51:42Z","1","20","3","23","1","0","0"
"8b06fb069fa33596461c4e21cdde4f59b632a20c","2018-09-19T08:51:41Z","0","0","0","0","0","0","0"
"26e6aab3da5364bcb31fa8b23766610464a8781c","2018-09-19T08:51:41Z","0","0","0","0","0","0","1"
"bc4d2e6948669842ff325c789f570a4f46f0af41","2018-09-19T08:51:41Z","0","0","0","0","0","0","1"
"1b6dcc529ae3ef54db0cfe7ac80c926d20799d56","2018-09-19T08:51:41Z","0","0","0","0","0","0","1"
"0ba8c56c9a7cddf225720f224e66b267f9bbf528","2018-09-19T08:51:41Z","0","0","0","0","0","0","1"
"19107a98d5248a1556ac76b3d9263f1e69fbcefc","2018-09-19T08:51:41Z","1","1","1","2","1","0","0"
"47571cbb5b56357f4f7be610f2a04b6688e7d8ba","2018-09-19T08:51:40Z","2","10","7","17","1","0","0"
"790d026a6731ca53cf9580f9cb1ce48b44d40d2b","2018-09-19T08:51:40Z","2","50","4","54","1","0","1"
"697d49b00406af4ecd4722dbf6b662bdee01c89a","2018-09-19T08:51:40Z","1","1","1","2","1","0","0"
"57987b49f0b273811165818e54334c4f7eb3d24a","2018-09-19T08:51:40Z","3","1","70","71","1","0","0"
"236840051693278ab5438711a81ad13c47c4656f","2018-09-19T08:51:40Z","1","1","0","1","1","0","0"
"1499510eb4a8bfbc1d90f5f09a321704e587e42e","2018-09-19T08:51:40Z","0","0","0","0","0","0","0"
"9a3a741ca211aafce25e24ed354194df1044d04c","2018-09-19T08:51:39Z","2","4","1","5","1","0","1"
"63b270ad490104a724d1938334877eb3c9ba261d","2018-09-19T08:51:39Z","10","133","14","147","1","0","0"
"411fd8ef5065c074b6889919c840a8eafab352d4","2018-09-19T08:51:39Z","2","14","11","25","1","0","0"
"11f1dc51c363b70f5d6c44425944415209d2a037","2018-09-19T08:51:39Z","11","654","517","1171","1","0","0"
"500ded18cf93bccab83dd94e8b3f74302114d5d2","2018-09-19T08:51:39Z","26","382","562","944","1","0","0"
"f2dbe93832ced5dd2a2edea0cb465c001ffbbd01","2018-09-19T08:51:39Z","5","139","5","144","1","0","0"
"269c963c54bd2234bc52ec3a30ba73ebd30b44ed","2018-09-19T08:51:38Z","11","339","28","367","1","0","0"
"85389bab1cf38732a4436e18b58073385b181fab","2018-09-19T08:51:38Z","0","0","0","0","0","0","0"
"59f16abd7d135f3f9cd9b61384445cc5a5823c31","2018-09-19T08:51:38Z","0","0","0","0","0","0","0"
"75ac4a37f2faece59951606d86006c098bdb02d2","2018-09-19T08:51:38Z","0","0","0","0","0","0","0"
"818b95efd106fe8149821d3507c8a59c00d74688","2018-09-19T08:51:38Z","0","0","0","0","0","0","0"
"55822b5c264747a28161902119482ef7f000ab66","2018-09-19T08:50:57Z","0","0","0","0","0","0","0"
"80418249fe5b1f8cf3ee10f4f80d538351fd106c","2018-09-07T18:20:57Z","7","13","2","15","1","0","0"
"4dd360e67d5a75e3618b9eb1a1ef9425d4133b88","2018-09-07T18:20:56Z","4","201","0","201","1","0","0"
"7dd24b9fa152f98e91ada1066977e837c69b7341","2018-09-07T18:20:56Z","0","0","0","0","0","0","0"
"0bb06ba33833577cfabb75c66c5a143b5ec7a123","2018-09-07T18:20:56Z","0","0","0","0","0","0","0"
"469af3846a5ca3f78b2b190ec4a2b27e3c7fd11f","2018-09-07T18:20:56Z","36","309","97","406","1","0","0"
