"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"81579f522faf00bf41ae8d043e0a121b8822adae","2018-09-26T20:22:40Z","0","0","0","0","0","0","0"
"bcf05e8d0315cfc3177ba2edb6985eee14d56072","2018-09-21T20:00:23Z","0","0","0","0","0","1","0"
"6e067e8d33cbcbddbd04fdd93287eec00d99d7a9","2018-09-21T19:56:31Z","0","0","0","0","0","1","0"
"cd70fb5023dca9a27a38eb3c640cf31a55023e4c","2018-09-20T00:40:39Z","4","19","6","25","1","0","0"
"458141774a8ccf142a8ffa190ef689a3faf50abf","2018-09-19T22:01:29Z","0","0","0","0","0","1","0"
"a7ec36fa3a518f778a3de5d4c647987c52a13de1","2018-09-14T18:26:56Z","1","3","0","3","1","0","0"
"ace1ef7ebec4f005335415b9548246690bda17bb","2018-09-14T18:25:40Z","11","705","0","705","1","1","0"
"afc62da1feb2f36e14a4c08b038335a38ebd5b3c","2018-09-14T17:53:02Z","2","2","2","4","1","0","0"
"3dbcf46d0ee118c5b5e5f0b7ba0d2d53f3fca1b2","2018-09-13T00:31:48Z","0","0","0","0","0","0","0"
"30a62d8fb918b582c44bbe3a994678d9fe82e17c","2018-09-10T16:24:12Z","3","42","20","62","1","0","0"
"adcaa71b682c4313efc6cf43752095f106145241","2018-09-10T16:05:36Z","0","0","0","0","0","0","0"
"ca1b770c0b498e040646aa45c709d296ce96194d","2018-09-10T07:32:49Z","2","10","10","20","1","0","0"
"bb800f657ecac4b861ceedfaf80efe215be67721","2018-09-07T16:45:28Z","1","16","0","16","1","1","0"
"a256e3b8c1ab9a07c1cdb2c9099e1816a2216e4c","2018-09-07T12:23:50Z","1","7","5","12","1","0","0"
"296ee76e7284e4a3bdf3a12da0c1f0d0dd3eca40","2018-09-07T09:30:00Z","5","26","43","69","1","0","0"
"c347facba3ea81b177b215769572addf7c5c630a","2018-09-06T08:15:12Z","102","2657","962","3619","1","1","0"
"6e8ef02a145e377d8c7e003af6ffa65607f7e481","2018-09-06T00:39:45Z","8","92","32","124","1","0","0"
"9287f446dd79da06f0eea02b08f21fff211bbdd1","2018-09-05T13:47:54Z","2","64","32","96","1","0","0"
"3ef01f79db674403ddb1806bb179ef7d815a9944","2018-09-05T13:19:05Z","2","58","5","63","1","0","0"
"0f7c64325e009941b49d5b0136ae6b72efe8a184","2018-09-05T13:07:09Z","6","196","167","363","1","0","0"
"6cb1ec0fa110ea6161857ee77113153851d746a2","2018-09-05T13:06:54Z","6","196","167","363","1","0","0"
"dd19bc5ba3975e2559f933081d0dd0244e3f2ee4","2018-09-04T18:24:36Z","0","0","0","0","0","0","0"
"3bde761e325f582e2841829b2bf6a8c413695398","2018-08-24T15:56:57Z","1","3","0","3","1","0","0"
"1759febe5dbdd188e6d185827f326e574f71ac8a","2018-08-22T14:52:50Z","1","0","3","3","1","0","0"
"07cfc17797d91c402e25a7ca8a5581ee3fc82f5c","2018-08-21T18:43:23Z","1","3","2","5","1","0","0"
"01171fb1b0c3fe319c93af3d7aa9ac11eb9a759c","2018-08-21T18:42:48Z","0","0","0","0","0","1","0"
"12583fd0c25638f95c14973d921ca28cdcd17df5","2018-08-21T15:51:58Z","4","54","36","90","1","0","0"
"46719c0c313af828297babedac5614f7a728df5d","2018-08-13T18:08:55Z","2","17","1","18","1","0","0"
