"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"00353a073c23c5fbe5ac180c8b0847c5db57ea3a","2018-10-01T19:48:49Z","0","0","0","0","0","0","0"
"9fed4d0375c9f6bec71672f1d25c0e4ace972c57","2018-10-01T19:48:02Z","0","0","0","0","0","0","0"
"fc03707445b330e9cde86725af72a3afbc6b5d14","2018-10-01T19:47:46Z","0","0","0","0","0","0","0"
"7aa933437c874122fef10a3cb8282359312e8d6e","2018-10-01T16:01:28Z","2","4","4","8","1","0","0"
"a8f4c596fde0b9dff23a111187f7a03615f1aa5b","2018-09-30T18:29:11Z","0","0","0","0","0","0","0"
"058f027c5befb92bc1e20378d7f483589ab951f5","2018-09-29T16:58:13Z","0","0","0","0","0","1","0"
"2ec41c815389a61625b110a4ca6e94f8315ca225","2018-09-29T16:57:56Z","1","3","2","5","1","0","0"
"ad29f97a05d01d4d92a925194fb64108188764c9","2018-09-29T15:16:25Z","1","9","7","16","1","0","0"
"9063e66c5d114855e46b910ab33ae2276fe2bdc2","2018-09-29T15:15:53Z","1","15","6","21","1","0","0"
"d6dfde3e5bb7131d6dc5bcdeb409f00017799bbb","2018-09-29T15:10:03Z","1","29","1","30","1","0","0"
"333e3272892444511c5c5ec101b18cbc49293092","2018-09-29T15:09:30Z","3","43","41","84","1","0","0"
"255015fc6b0547cfc2fbf3feec3d7e85333d1d40","2018-09-29T15:08:57Z","2","8","8","16","1","0","0"
"6ff8cd8a9ff571cfef82d472b3835853be3afd6d","2018-09-25T18:21:45Z","0","0","0","0","0","0","0"
"18c9e3e81292156976fc343c02c34f48ba58eb37","2018-09-25T18:21:13Z","0","0","0","0","0","0","0"
"a76b8deda58926d9850aa6a5076a920a631ce098","2018-09-23T22:27:50Z","21","29","29","58","1","0","0"
"7ca6b9f7d2196153307b93ea7df6fc52abb06902","2018-09-23T15:26:40Z","1","1","1","2","1","0","0"
"51ba322947a17a477ca1b93784224a8711de0a6c","2018-09-23T12:44:15Z","17","208","72","280","1","0","0"
"9e2912e1dd214f613a1b25810c3b08f785543a9d","2018-09-23T11:30:17Z","0","0","0","0","0","0","0"
"6d226326c942843e454d9f261e296a5120672ef5","2018-09-21T21:27:03Z","0","0","0","0","0","0","0"
"45ecfc6df9be349b80b937b17546bd417f360ea0","2018-09-21T14:33:04Z","0","0","0","0","0","0","1"
"59e87f950b892b43e549c52b9b7cf05959072355","2018-09-21T14:32:06Z","0","0","0","0","0","0","0"
"917bb53718625323d54fbe24635a7ae5c3d07e60","2018-09-21T13:40:34Z","0","0","0","0","0","0","0"
"f7263abbf0df4950d19fd59236c7a61be6d6f77a","2018-09-21T13:29:49Z","0","0","0","0","0","0","1"
"2a6da6a6236640668cc10f9104587569bbc208d7","2018-09-21T07:27:05Z","0","0","0","0","0","0","0"
"92b3f2aee7c742ad55bd2ae657937d2f449de5e1","2018-09-20T14:38:28Z","0","0","0","0","0","0","0"
"80e52de2313b38defaf61bdd0657d976cb55d8d3","2018-09-20T09:55:50Z","0","0","0","0","0","0","1"
"75627617c971333e60a9635f4b762853e3989da5","2018-09-20T09:31:42Z","3","106","58","164","1","0","0"
"3f5a7bbf049ff63f0f7b7c99925442efae6af636","2018-09-20T09:29:59Z","0","0","0","0","0","1","0"
"093a863906da8e455966cf6cb2e96ebd22e8bc6c","2018-09-20T09:11:50Z","0","0","0","0","0","0","0"
"90c29b3af3a4fe5d1bb735a80273826658e406cb","2018-09-20T08:49:07Z","0","0","0","0","0","1","0"
"f7839675f6e6097144fb2d4125c8bbc85fd11cc3","2018-09-19T22:21:38Z","0","0","0","0","0","0","0"
"47d6e9122751efc78f41632483302d365bb1a2ca","2018-09-19T22:21:38Z","0","0","0","0","0","0","1"
"b6b880ce274396b93a85fe8fb9225f2b5a6b798d","2018-09-19T21:05:40Z","4","22","13","35","1","0","0"
"7481d73456b0e5a845912efe323ce8fddd8eb712","2018-09-19T20:53:57Z","2","26","5","31","1","0","0"
"288a9ecd186f35e47c401108e04575ed570e2e2e","2018-09-19T20:28:57Z","3","55","6","61","1","0","0"
"a278e878e8e7bc16818d8a7f757e19b878554045","2018-09-19T20:20:14Z","0","0","0","0","0","1","0"
"082c524cbe51c0e478e6e315f236f9b542a48ee0","2018-09-19T20:19:49Z","7","26","34","60","1","0","0"
"d3c08552e9f9c5e0061cd1b518e4167d4a02ef9b","2018-09-19T20:19:43Z","5","279","91","370","1","0","0"
"50c95427960c620d86068ac2deae8a6220eac636","2018-09-19T20:19:28Z","2","46","17","63","1","0","1"
"a6f9c4c59913420eb1fdbfac9c82e3e6d83303db","2018-09-19T15:54:05Z","1","1","5","6","1","0","0"
"af58263744e16d9bac7ee6bb4688189afa621b48","2018-09-19T14:37:50Z","0","0","0","0","0","0","1"
"8a4835368dadf1df14a149dd997722edf3efd8c5","2018-09-19T11:24:45Z","5","45","15","60","1","0","0"
"1756f837013a9fe4384ff75b364ae5705f831e01","2018-09-18T19:25:36Z","1","9","10","19","1","0","0"
"d94e9225f465f2ace799c9c775d4ba88358b82e7","2018-09-18T16:50:37Z","1","2","2","4","1","1","0"
"65ca7f49099e83e9fd7b911839321b10625ce852","2018-09-18T15:19:37Z","3","16","16","32","1","0","0"
"0204b082b1d4b008fc6dc94a0085f1a3baf03ca1","2018-09-18T15:17:47Z","1","1","1","2","1","0","0"
"5b25aaacb6ed65e1d5cd922df0f7fbe3e74e2cf2","2018-09-18T14:42:09Z","0","0","0","0","0","0","1"
"6431b2504596b27fa6268ea744ba7b699bb2d73c","2018-09-18T13:47:37Z","0","0","0","0","0","0","1"
"745aeda581fc555831219aa3e16a24927c5d2c82","2018-09-18T13:44:36Z","0","0","0","0","0","0","1"
"c634b2fae786a67c6f075a1130e5079192731bf1","2018-09-18T13:30:43Z","3","54","28","82","1","0","0"
"00a3afcda8019a8bcc7c0289fd2f3d41e34b1313","2018-09-18T09:37:48Z","0","0","0","0","0","0","1"
"b29a278b2a89aeb60130c8bc29f0552523592e39","2018-09-18T09:37:12Z","0","0","0","0","0","0","0"
"95ff22cb7e4dcb5b133997a1e5f3d347109232f2","2018-09-18T09:36:23Z","0","0","0","0","0","0","1"
"395e3d008cc3fa63dbfc7319fad0f29120e84053","2018-09-18T09:35:33Z","0","0","0","0","0","0","0"
"d0ada5653f02954c7d1b5014e798400e6846828e","2018-09-18T09:20:33Z","1","5","7","12","1","0","0"
"0948edb39de875cd7fd7e336e5e98a635886b4e4","2018-09-17T17:09:55Z","2","43","2","45","1","0","0"
"c8869d99f58c697bf69a6761a27ced75ad771980","2018-09-17T17:09:21Z","1","3","0","3","1","0","0"
"69e8bcdf401ececad932e9502b67ddeacfe2e36e","2018-09-17T17:09:07Z","14","513","462","975","1","0","0"
"c385a1de83b8712fa5c53f85c23a82d66531e7eb","2018-09-17T13:17:39Z","2","6","5","11","1","0","0"
"88ab911cf1d712b00167f64c17b714a4822a0e32","2018-09-17T12:50:05Z","3","98","63","161","1","0","0"
"51f7a3e40fe520ba596d0dac1b5aa1f260966375","2018-09-17T12:26:56Z","3","14","25","39","1","0","0"
"34663300a6952e1c708e0ec39296e4fdf3d85feb","2018-09-17T12:22:19Z","13","61","30","91","1","0","0"
"cc87fbcb7fba7c4f630842d5f88692ae1228a7b3","2018-09-17T10:25:39Z","1","5","4","9","1","0","0"
"c4aea626fe1772e4522ba14457d496e2b77f3c6a","2018-09-17T10:01:33Z","0","0","0","0","0","0","0"
"a680880a9bd86b160283ed22de925955b48e70df","2018-09-17T08:34:52Z","2","58","12","70","1","0","0"
"8e83f140d43b5dd6552d6c0b83d0ba3a3824c580","2018-09-14T22:17:17Z","2","7","6","13","1","0","0"
"db8e9eafb208860f53911c5f352074142b7f74ea","2018-09-14T22:06:46Z","24","212","289","501","1","0","0"
"41d4cb5cbf608a3ef6b0585f675091c427dba5d7","2018-09-14T21:56:25Z","6","90","69","159","1","0","0"
"12240c7524ee81deab6049dbfa59b5963f4ff2e7","2018-09-14T16:37:00Z","4","10","5","15","1","0","0"
"e62298eaadf2e6b0587c18dd309bd7b2f2686e74","2018-09-14T16:20:03Z","16","187","32","219","1","0","0"
"66c66baa8f5f55e6cabb1165093f0e27d9d681c2","2018-09-14T12:03:53Z","0","0","0","0","0","0","0"
"cf9641686bcd17c3d256405743a61e63a4744c92","2018-09-14T00:59:22Z","2","12","13","25","1","0","0"
"97cea7f36e264c2b193ae71609a44b6bd34e31b7","2018-09-13T18:24:36Z","4","76","35","111","1","0","0"
"77887ef739d3cb6a85bee6cc1027fc200bea3698","2018-09-13T18:24:27Z","2","30","3","33","1","0","0"
"cbc0fad961034493436c29e14bce0ed457a776f5","2018-09-13T16:23:42Z","0","0","0","0","0","1","1"
"65c8fa400f7b6b42c97468eba9c5f12beaccac41","2018-09-13T16:23:19Z","12","303","136","439","1","0","0"
"068565172e5d95f971dd6ee9a126d148d8ea028d","2018-09-13T14:53:28Z","0","0","0","0","0","0","1"
"cde677a1f4f12e8337ab0fa25c36b63ddc792103","2018-09-13T14:12:13Z","1","1","1","2","1","0","0"
"184340ff8ef9aba9510e1c94817cf49cf27bd9bb","2018-09-12T19:32:43Z","1","1","1","2","1","0","0"
"9cb8b4bb0a6c9b715d4bf51abee6b65ccc9bea9d","2018-09-12T15:30:19Z","0","0","0","0","0","0","0"
"b6d32ef55f6fcc7aeaf5a874f125e0172a8e5362","2018-09-12T12:59:10Z","1","23","7","30","1","0","1"
"b83bc39ecd7a2b10f95a40d1f35cceeaf7bcecf1","2018-09-12T12:02:45Z","3","13","43","56","1","0","0"
"45936f0ddd1435b2d86885b7000cfa418c850f6e","2018-09-12T10:26:29Z","1","33","21","54","1","0","0"
"43a814b070c73b0d36701080cebfbc22ff8a9bc4","2018-09-11T15:19:32Z","1","0","3","3","1","0","0"
"bffa4b88afea035d209cffe63e643c2b8688802f","2018-09-11T13:57:30Z","0","0","0","0","0","1","0"
"dcac30c41cbf91ccc818ed7a1c97e8efa3fd9bd2","2018-09-11T12:57:31Z","0","0","0","0","0","1","0"
"f35f7db29bb1cc02ce602dceb4846ccef551423e","2018-09-11T11:36:44Z","1","0","84","84","1","0","0"
"09af706af6857d67708071703c515b3554b2576a","2018-09-11T11:36:44Z","6","6","6","12","1","0","0"
"1a0522b8057dead47c90404d629c7597d0787dce","2018-09-11T11:36:44Z","2","240","25","265","1","0","0"
"1da4d504c4e9c2f8f290c24c1f786f8bfc18904b","2018-09-11T11:10:45Z","25","509","335","844","1","0","0"
"e47355078c131ee572afad1692128bfcfe2ca642","2018-09-10T10:36:40Z","1","2","2","4","1","0","0"
"28208310dc18a4b7e1ee42003d7f9766bdfad922","2018-09-10T10:36:07Z","1","10","5","15","1","0","0"
"c06b9525ac780f4020d9d78059633eba9b887de6","2018-09-10T09:31:37Z","3","15","2","17","1","0","0"
"e49896d95f9e75d69745dfdfc7db450039042f8c","2018-09-10T08:52:24Z","0","0","0","0","0","1","1"
"6c487f7799facf630dfcf93e81eaf3044d245d38","2018-09-07T16:11:18Z","1","4","16","20","1","0","0"
"aa848d54ffa281165cf258ae020811b2d9b18fc7","2018-09-07T16:00:06Z","1","4","4","8","1","0","0"
"3abebb3799e3a549a3ad9b17ac56e93678ff8e9c","2018-09-07T11:23:22Z","1","13","14","27","1","0","0"
"87fac79b90bbc270dd613baa7f8a05d9e7ea8ee2","2018-09-07T10:58:20Z","0","0","0","0","0","1","0"
"90a4740279dbc5b747093613a5d3b1bca750e1d4","2018-09-07T10:56:53Z","3","50","52","102","1","0","0"
"c803ad7998e5b6b59975e844fce69b9171a59731","2018-09-07T10:56:23Z","1","4","4","8","1","0","0"
"84ec382201b1f786660219d5e5e3c51a2d0bcfae","2018-09-07T10:56:15Z","3","115","83","198","1","0","0"
"8d45e3e7ef2722f47ba3e5d402e80ec686effe4f","2018-09-07T09:39:30Z","1","6","1","7","1","0","1"
"c8627c05edb7fa5a9299edbc520dd57f7f4e3dcc","2018-09-07T07:10:48Z","0","0","0","0","0","1","0"
"f30d19b72411485dc50057d7a21a05472c697747","2018-09-06T20:20:03Z","1","12","9","21","1","0","0"
"2163fa94a7f0b8bf5de1398f0a79249f342f497c","2018-09-06T19:16:01Z","2","141","2","143","1","0","0"
"f55a6051dfe0ea51fc82196cb6ca3c9a4e1570ff","2018-09-06T16:36:49Z","3","46","30","76","1","0","0"
"c450f8dd82a19bbabe164f607a450dc6dc1f12bb","2018-09-06T13:58:58Z","1","27","11","38","1","0","0"
"fd352b84b36bf65099c387b812cd7d62190ae5c6","2018-09-06T12:36:19Z","1","11","27","38","1","0","0"
