"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"98e6027861622cb6dd7020f2e7a9433ad9479c54","2018-07-16T14:24:45Z","0","0","0","0","0","1","0"
"5d806e1272583c751ab29e9f56d4d56394354eb6","2018-07-11T20:44:50Z","0","0","0","0","0","1","0"
"8eedb354ae0015e0f33f0c3d958d9ac84d010721","2018-06-15T15:30:34Z","2","16","1","17","1","0","0"
"60f39ce82f380299cb1894baa02d65606f8f1365","2018-06-12T16:20:42Z","2","23","10","33","1","0","0"
"8251dfc0e3ca603c358a533c6b7e8cb69ee91372","2018-05-28T14:42:22Z","1","1","0","1","1","0","0"
"95033777dde82c1cc82fb0ceec2307af24818184","2018-05-08T19:17:12Z","0","0","0","0","0","1","0"
"4d5517c6597502d769e75bff23b587ee86f3e271","2018-05-08T19:03:26Z","0","0","0","0","0","1","0"
"adb1e6d19c681f394c9513799b81b527b0cb007c","2018-05-07T21:27:54Z","9","171","209","380","1","0","0"
"70e5ba84ca98b7ab42c1900bdd9fa51b393d611f","2018-05-07T20:37:51Z","2","57","6","63","1","0","0"
"f9414d549b5341bcac1475e0b5527511444640dc","2018-04-12T01:17:11Z","0","0","0","0","0","1","0"
"97e39dde7e88aae802be98de084a382886ca4255","2018-04-12T00:52:51Z","0","0","0","0","0","1","0"
"0c824015d7cca693066ff6c5ed98fcca73e51160","2018-04-12T00:52:51Z","1","11","2","13","1","0","0"
"f901cff3128d679c755ac4daec48579c23966f6f","2018-04-10T18:37:56Z","0","0","0","0","0","1","0"
"3f18057bb1b4c669ab18571b587a632741d9a55b","2018-04-10T17:53:11Z","0","0","0","0","0","1","0"
"e45eb1f93bc5c2460243f8c278717c32f6754372","2018-04-10T17:39:53Z","6","37","16","53","1","0","0"
"c055eb6a3c6fc7146f0751800686f194002a5a47","2018-04-09T23:55:31Z","22","75","92","167","1","0","1"
"524a9e98dfd3cb8386f64ae73c59f47a66210519","2018-03-29T21:11:04Z","1","1","1","2","1","0","0"
"39d6504c9fd1e38136edf5b99022448b0324698c","2018-03-29T21:02:01Z","1","1","1","2","1","0","0"
"d0e76504841dbd0c6ba3d937b3679982f350de22","2018-03-29T20:34:21Z","0","0","0","0","0","0","0"
"fd8d7279a63b5a5784f6ca27f3a9ec3ef11b6712","2018-03-27T18:00:07Z","0","0","0","0","0","0","0"
"a98cc786b366bd8d1c57eed8b8cbca59c5b00180","2018-03-27T17:59:05Z","0","0","0","0","0","0","0"
"630a3a462fc4a0635d8c2bc72760556ad57eca95","2018-03-27T17:59:05Z","0","0","0","0","0","0","0"
"b7cbde930900eddd71889bea47998d881d0785a1","2018-03-27T17:58:08Z","1","5","5","10","1","0","0"
"3f95635cb891eca65d2e8a84d782b97ce1a98589","2018-03-27T17:57:06Z","0","0","0","0","0","0","0"
"c00654c7b8b2be11eff5b0d677120a1571636475","2018-03-27T17:54:23Z","0","0","0","0","0","0","0"
"92d02af82ce46a368712661b3ad541a63da070bf","2018-03-27T17:54:23Z","3","18","1","19","1","0","1"
"7d8fd2561e0f549e8704a37854137968c51fefdf","2018-03-27T17:54:23Z","2","65","14","79","1","1","0"
"8f45c49fb353b37bf3dbf017546cbf57e51aa81d","2018-03-16T15:35:39Z","0","0","0","0","0","1","0"
"f0b82d84dbd02d98a4e313d9357906b053ca4b18","2018-03-16T01:50:43Z","0","0","0","0","0","1","0"
"a460ee44f0dbd2a24c7fe6073d0737a313a4f324","2018-02-27T14:43:20Z","0","0","0","0","0","1","0"
"f230908945274045e3effab37d9ff57f5b3f1843","2018-02-27T14:14:41Z","0","0","0","0","0","1","0"
"1ade2cf8fbabe710122dce10b51c5aa460cfb4b5","2018-02-23T15:28:36Z","2","115","11","126","1","0","0"
"4c43f56a6d9f9735f2b0d8b73243c573cf8b3888","2018-02-14T17:13:26Z","2","106","4","110","1","0","0"
"1a3ac6ee5446151f951a8da7f2e4ef7fcf5694d8","2018-02-13T21:06:32Z","2","33","5","38","1","0","0"
"a62250bdba177474e5e9520611c90523463629d2","2018-02-13T19:01:41Z","9","47","27","74","1","0","0"
"c7ba7a561b833d7768e89d8026a1a4982db80077","2018-02-13T11:42:12Z","2","67","1","68","1","0","0"
"e5dab2393b19cc11082dd26e55328e7748d7734f","2018-02-12T20:48:40Z","3","78","1","79","1","0","0"
"3148a7d89a2a5f3349357b32720b745b13afdc69","2018-02-01T15:04:10Z","1","15","15","30","1","0","0"
"cc4c0a52086309a6eed3fd8a2304b31055e7c9d7","2017-12-21T18:48:41Z","5","171","114","285","1","1","0"
"181cae9a4f535cf0b22c90017911e1de78b14e67","2017-12-20T17:04:01Z","6","277","4","281","1","1","0"
"0e7e6ced73af209dad6a81f37d09bc4b7a6cb0d9","2017-12-20T16:19:40Z","0","0","0","0","0","1","0"
"f2592c1e15aeafe9e44c4001d3ee26615d6efa42","2017-12-20T15:28:35Z","0","0","0","0","0","1","0"
"095a64999ddb9a24d01200d9ca49e90124722e32","2017-12-20T14:56:36Z","0","0","0","0","0","1","0"
"8fc19343fdc21671ba036c45627b9b7f51637b4b","2017-12-20T13:48:27Z","4","380","213","593","1","0","0"
"af031939a1011b7b21c6b10b2f79b14387bfd60f","2017-12-20T13:41:49Z","3","270","0","270","1","0","0"
"fed554e6daaf7b086c2d5f22fa7b72494b6ab40f","2017-11-21T19:30:57Z","0","0","0","0","0","1","0"
"ffd9d4b90fbb2e3601601c3674260df99fb65f98","2017-11-21T18:17:10Z","0","0","0","0","0","1","0"
"0bc2a67ff6ce5069652d7a5412e61e0f147ff78e","2017-11-21T13:35:54Z","1","13","5","18","1","0","0"
"7219ba461534d8c5eb437568d513baf1fc8ef790","2017-11-21T02:47:52Z","2","24","17","41","1","0","0"
"af51eaea694d64bd733a9f00f0c0db13b967c8fd","2017-11-20T22:38:16Z","1","0","1","1","1","0","0"
"bfdde455698b0213a43ef0d930a598e75347bab4","2017-11-20T21:46:37Z","2","39","1","40","1","0","0"
"dd9eabd7016ff7863cd307892ef047d3f05912f1","2017-11-20T20:20:37Z","0","0","0","0","0","0","0"
"e2e2e4422ad4c5f46ee67e324046731994c6d293","2017-11-20T06:45:24Z","2","35","38","73","1","0","0"
"0f732e48f2ec967756003758c6134bb1230671e2","2017-09-18T19:21:21Z","2","23","4","27","1","0","0"
"11f24d6470d5241d9d167e0fce6756190e66170e","2017-09-18T17:04:25Z","0","0","0","0","0","0","0"
"97e26561e56ff659edfef80e09e8352ed2143f02","2017-09-18T15:34:25Z","2","24","5","29","1","0","0"
"1a7cc9d2ed188f76bd339b6551e0220f06f3f3c3","2017-08-14T19:01:07Z","2","25","1","26","1","0","0"
"179ec57cb1be8ea9175ad3c1685cd1ff7a4ec631","2017-07-28T16:07:39Z","0","0","0","0","0","1","0"
"4701c737204017ddfed2e18069de9d77191a6813","2017-07-28T14:28:11Z","0","0","0","0","0","1","0"
"2686a039d4eb91f0f2079ce023fa87bb32aa134b","2017-07-14T15:21:37Z","0","0","0","0","0","1","0"
"2b99e652707125ddaa915724bd895ed3aabba496","2017-07-13T21:04:26Z","0","0","0","0","0","1","0"
"01500f22268663f64a2cd2f6d2869886d7792b4a","2017-07-13T20:17:05Z","1","4","4","8","1","0","0"
"b86951100ec45079b675710b27ebe215f29ae6a7","2017-07-13T19:28:21Z","1","128","0","128","1","0","0"
"b4f791ef83792afc6d917ff65b917ad01782893d","2017-07-13T18:24:42Z","3","262","0","262","1","0","0"
"9ef803a6e733b5fae09a2612e889d247c7970782","2017-07-13T18:06:01Z","2","102","0","102","1","0","0"
"a0230eec6f162c519476c045a61ecf04890c1bf8","2017-07-13T17:53:44Z","7","228","43","271","1","0","0"
"9b7d5767cb07a4e9d643d2d59843821a252f6fd1","2017-07-13T15:22:54Z","3","8","14","22","1","0","0"
"8220da2c50228e0a0e1e893e2c341b2c5e5632bc","2017-06-30T14:58:53Z","2","73","3","76","1","0","0"
"27f9f1d616dc56b278414a021b54df5ddcfd2aee","2017-06-28T21:34:30Z","5","24","37","61","1","0","0"
"beb0ea6fb3d4f075804fa0bf9a2f9e151cf34fce","2017-06-28T21:05:19Z","1","6","4","10","1","0","0"
"9e3cb1e5fda1987d7a6ec5b6fc33d91fbf9f5a54","2017-06-27T21:26:01Z","4","129","12","141","1","1","0"
"64d76515973fa7f711d5ef9852e1e53ae36a44a1","2017-06-27T21:20:55Z","0","0","0","0","0","1","0"
"0d38a03004aa3d3b5757cd4922d7585110f4db5d","2017-06-26T18:54:41Z","0","0","0","0","0","0","0"
"f61f19c3628dbf70014839f1de10c08b793013c6","2017-06-26T17:03:21Z","0","0","0","0","0","0","0"
