"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"44ee15cb4d51e9440a7fdecea4cc001e5fb0ea79","2018-09-21T14:32:51Z","0","0","0","0","0","0","0"
"c073705d555d94bd271dabb16990d87a33a8284c","2018-09-21T13:13:44Z","0","0","0","0","0","0","0"
"69b71ee0ed917f5ed1b42242bb31e25e8981244b","2018-09-21T13:12:40Z","2","0","6","6","1","0","0"
"5d18bb68eda6b06a407a0cf09896d48f073c6a6e","2018-09-21T13:11:50Z","1","4","0","4","1","0","0"
"e67264ae2c773854fd19c30f69126c56ec1bb9fe","2018-09-21T12:25:16Z","0","0","0","0","0","0","0"
"dd82d114c026cafa622c276d1135ce8fa5480f3e","2018-09-21T06:04:16Z","0","0","0","0","0","0","0"
"eca0b7bc04e695054b812fe54faae4a8b44806f6","2018-09-21T06:04:16Z","0","0","0","0","0","0","0"
"45a9c0fd54bc48a5dbbfa2362bec286b32dc68f3","2018-09-21T05:59:36Z","1","8","4","12","1","0","0"
"b060ec050a5b961cb68945f29995faef55be8f58","2018-09-21T05:59:36Z","5","205","21","226","1","0","0"
"725b3b5482e0cb9c73897ea0df598ac446ba46eb","2018-09-21T02:39:09Z","1","1","1","2","1","0","0"
"79828d4f7bb19464e4fd8a6e1cd01719b5c62b2c","2018-09-20T22:14:16Z","2","22","19","41","1","0","0"
"9565e90b6e0da3b7b42adb5b434454cea2181f4c","2018-09-20T19:20:11Z","2","38","36","74","1","0","0"
"d46f83caf4c13b59ec49031fec57db2560ab5049","2018-09-20T18:30:41Z","3","138","6","144","1","0","0"
"77fa495860714535a088b82da27e749c399c47f8","2018-09-20T16:45:51Z","2","47","10","57","1","0","0"
"8a49c431c345a8e0cbcebf02e7d14a0e32fe1129","2018-09-20T15:19:21Z","1","8","0","8","1","0","0"
"73c1abbba03e1a9e799a25bb7a6528a19eb6dd36","2018-09-20T13:55:03Z","3","40","17","57","1","0","0"
"1e864ad7645fcf6d66edd714cb4faf32f76c0716","2018-09-20T13:55:03Z","2","30","3","33","1","0","0"
"d4c50a8fb808ba8cdf872d0d426ada567cc849d0","2018-09-20T13:50:30Z","0","0","0","0","0","0","0"
"508f0bc87015e415611ecd2db3a6f0f9abf3ceea","2018-09-19T21:52:16Z","1","3","3","6","1","0","0"
"b4cad2c8b962dc68d73ae343a2cb596eb306e698","2018-09-19T21:36:41Z","0","0","0","0","0","0","0"
"1483d148d8ec2c84fd0476bd1feb33cbdc07d0cf","2018-09-19T21:36:33Z","0","0","0","0","0","0","0"
"779da0a633b438fe59e253998932004d13d631a3","2018-09-19T21:36:16Z","0","0","0","0","0","0","0"
"352db344a1bf25e2266b002c49ef040224f9df14","2018-09-19T21:36:01Z","0","0","0","0","0","0","0"
"1acc46e6226b3811da1346f4b4822bec5974bd30","2018-09-19T21:35:45Z","0","0","0","0","0","0","0"
"a23830d0967ec312aa20da0203a6773f29b5f12b","2018-09-19T21:35:35Z","0","0","0","0","0","0","0"
"c10a4686bfaee09856ddba63a974555bad062c47","2018-09-19T21:35:26Z","0","0","0","0","0","0","0"
"9e0c7f17b7c15b2a2ee8d450d2384357c26ba557","2018-09-19T19:29:14Z","1","1","1","2","1","0","1"
"e4597b521387c5158457b46a595ea7d37c41553a","2018-09-19T19:28:05Z","2","27","4","31","1","0","0"
"8e4d540bfb7dc06a8e1137ad5c4f9e31a50beaa3","2018-09-19T18:52:35Z","3","3","3","6","1","0","0"
"410f6bae1ad5478435724fc5f0c47bef75a4e548","2018-09-19T16:53:21Z","1","1","1","2","1","0","0"
"dcbf762a0bc68d1136d8f8bbbc47cece8af692d5","2018-09-19T16:47:04Z","6","93","0","93","1","0","0"
"f48055ce479e85f16be33c233affe6040865f08e","2018-09-19T16:20:42Z","0","0","0","0","0","0","0"
"91f6888e9f0ce72dcd4c951f571517897aa6a4c1","2018-09-19T15:22:52Z","1","0","9","9","1","0","0"
"e8d8eb59bf4bc61632601dd56e870bfc63aa10c3","2018-09-19T14:47:30Z","3","21","7","28","1","0","0"
"2c078c5dd9a65bb3ed5b2fec4a3fa37e7fbcf06f","2018-09-19T14:47:30Z","5","13","25","38","1","0","0"
"ece5de3f99d2139f28d7071ddf1047155c07d1e7","2018-09-19T14:45:13Z","0","0","0","0","0","0","0"
"8b0a3a760c78b67e8f335e8507ae1e7621fab0e0","2018-09-19T11:04:49Z","2","93","9","102","1","0","0"
"f5e2ca1b6e7702958c2fa1df20e551b302e8acd4","2018-09-19T02:34:02Z","1","1","1","2","1","0","0"
"62db88ce6afc87482d1d49e56ea6203dc52615a5","2018-09-19T02:24:36Z","0","0","0","0","0","0","0"
"501c008526ec234065dea0e70a12783cdb75bfe9","2018-09-19T02:12:37Z","1","17","0","17","1","0","0"
"db9248e05a477721b2a93d15db6451bcea70b177","2018-09-19T01:30:45Z","0","0","0","0","0","0","0"
"7b7f579746da9c87353494c393e32efce71c0479","2018-09-18T22:23:03Z","0","0","0","0","0","0","0"
"54d07b6b8b85325c5d32eb83274ee64ac0cba153","2018-09-18T22:09:41Z","1","14","5","19","1","0","0"
"a7f94b21888f1390f960eae78392b362a9902e1c","2018-09-18T18:05:20Z","0","0","0","0","0","0","0"
"2a83e34db58bdf9572f3c104ec6fcd00e74e0730","2018-09-18T18:05:19Z","0","0","0","0","0","0","0"
"87243ea45352a37dd0ae6704ccbc596f43e147b0","2018-09-18T15:58:56Z","0","0","0","0","0","0","0"
"83af2df13105b6ef2d3bfd8c7bc46f4be10d3a7e","2018-09-18T15:25:06Z","0","0","0","0","0","0","0"
"1e1b8ab3e74a9c2035a6f681f95347020e1f7d82","2018-09-18T15:24:59Z","0","0","0","0","0","0","0"
"a44d07ecf4b9b48a5703f855c52c420161471c20","2018-09-18T14:42:09Z","1","2","2","4","1","0","0"
"3ecefab9576ee604303c73ae1675263beb55ef53","2018-09-18T14:41:45Z","0","0","0","0","0","0","0"
"12c17e837bbe6218fc9c9c4743647464ac4c85f2","2018-09-18T03:40:45Z","0","0","0","0","0","0","0"
"735d755bb1afd00d576eb1e62e5ccf16809d5009","2018-09-18T03:26:33Z","0","0","0","0","0","0","0"
"cc8935e904476e7a078748ef05ae840b9ce1bbba","2018-09-18T02:21:36Z","2","32","1","33","1","0","0"
"72301e548a5bc0f52abe5775c26f20f52657d84e","2018-09-18T02:21:36Z","4","307","14","321","1","0","0"
"385bdfc055854581e9e9f671d11f86a978c27c42","2018-09-18T02:21:36Z","3","12","3","15","1","0","0"
"26afc18b66604a4b9940c0e8a7e6026b7af5e074","2018-09-17T22:37:47Z","0","0","0","0","0","0","0"
"b3d33708d1846ad3569d8546e9fbdfce0b5d9b21","2018-09-14T15:21:37Z","0","0","0","0","0","0","0"
"9c749bf55611d992a5c762deba3e7da61157ffd1","2018-09-14T14:45:41Z","2","85","29","114","1","0","0"
"8b19f7a71a88de8de39d245f2ac564a1d6ff585c","2018-09-14T14:45:41Z","2","31","0","31","1","0","0"
"17dd95d5252bc0e6c1b753672b86fa8c17bb9262","2018-09-13T22:21:10Z","2","2","2","4","1","0","0"
"f2140dd5f52594aad9c505e1bc0c608374930d99","2018-09-13T21:24:32Z","3","314","0","314","1","0","0"
"c21b2f31c6d3fe47c9f52d73a62f0776be96bdfa","2018-09-13T19:31:23Z","11","399","176","575","1","0","1"
"f68141d42ab3229544031dbde263dac7dbf186bb","2018-09-13T15:27:16Z","3","3","17","20","1","0","0"
"f5c73a566a892ce5f7fda03e0d9697661b0ae117","2018-09-13T14:23:13Z","0","0","0","0","0","0","0"
"68bc649a45654dc6b86986c079c7b9be41a180a7","2018-09-13T00:56:30Z","1","1","1","2","1","0","0"
"5b8d66e9118333118ae31320450d792b032caf66","2018-09-12T22:04:41Z","1","46","46","92","1","0","1"
"57359058ddefe62a20a2d1e9b76d658541781b32","2018-09-12T21:48:41Z","1","0","172","172","1","0","1"
"ed9cd478baa1efc8c9ec1d2bbf6514d31bf8264f","2018-09-12T15:57:53Z","2","5","8","13","1","0","0"
"8746e71b9af5462289fe0ee1440dd9708e0b8109","2018-09-11T19:53:42Z","18","111","104","215","1","0","0"
"ef02ab2f8a636a52934639fff8398b4cebacb8be","2018-09-11T19:53:42Z","1","2","1","3","1","0","0"
"7474d6524e8308ba7ba70c08205eb5d46013e2d3","2018-09-11T19:53:42Z","2","16","16","32","1","0","0"
"56b457639634dc5a82219d56f996254a9dd302ec","2018-09-11T19:53:42Z","4","21","23","44","1","0","0"
"e56c048db376b568fa865ad9ffde7a4afa2a4065","2018-09-11T19:53:42Z","2","6","56","62","1","0","0"
"b3282957a880c7229c5aa84c2af2d0410482b54b","2018-09-11T19:53:42Z","1","56","0","56","1","0","0"
"3f3a3e8351394c4e798a34375d891ddbf6c5a98d","2018-09-11T18:57:23Z","0","0","0","0","0","0","1"
"42327a0aeccb1150dfe06b51541bcb4f9fc7e4ee","2018-09-10T19:24:16Z","1","1","5","6","1","0","0"
"e5e91204fcfb800152037dd7ba78d345ce39fd2f","2018-09-07T20:57:04Z","0","0","0","0","0","0","0"
"8c4ff64db02cc3968950acc3eb6bfb2fcc120c4d","2018-09-07T20:56:22Z","0","0","0","0","0","0","0"
"26e577b0fa32f78cd96e099a7f8edd43817adb3c","2018-09-07T20:29:35Z","2","4","4","8","1","0","0"
"11ea92ef1c261d3b263362fe756d636710830c3e","2018-09-07T20:28:40Z","2","250","0","250","1","0","0"
