"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"8162c43ae3af054fc5be87e4820780f43ad83da7","2018-09-16T14:50:23Z","0","0","0","0","0","0","0"
"8d81f5be58ac3ed2c75da65470dfc06ed55b84af","2018-09-16T14:27:07Z","0","0","0","0","0","0","0"
"17fd865d867d614297d374a1a33fe7c7782652c7","2018-09-16T13:18:22Z","5","12","8","20","1","1","0"
"10f7f49b5240f88366bf2d823267b7b1ebf8b053","2018-09-16T13:08:21Z","5","12","8","20","1","0","0"
"b2cd12a4c31b23dff7893d9a6c54606971cacfc2","2018-09-16T13:07:44Z","0","0","0","0","0","1","0"
"876053887fed344128f7beeabc3630f4283a243e","2018-09-16T11:20:02Z","0","0","0","0","0","1","0"
"14f8366974b3a1755a11afa1ef81e6b5eebf5ce1","2018-09-16T11:04:11Z","0","0","0","0","0","1","0"
"ab0b4801eeb681e2ea4cec137f6bb1386b056b11","2018-09-16T10:46:19Z","0","0","0","0","0","0","0"
"1a14d5336b32dfc6080430d7ce30509d5c63b449","2018-09-16T10:08:26Z","0","0","0","0","0","0","0"
"3d09cbc3471fecae8e7d1b9885254cbeb38d031f","2018-09-16T10:07:15Z","0","0","0","0","0","0","0"
"ed061ff2ed9629e6b962ea2f4805f64bce665020","2018-09-16T10:06:59Z","0","0","0","0","0","1","0"
"6d17feef5c73ad82f08c9a39ac4c02a5e488338c","2018-09-16T01:46:56Z","0","0","0","0","0","0","0"
"51edd1e2e2dbd9b8ca53a9e80099af58acf16414","2018-09-07T16:31:45Z","0","0","0","0","0","0","0"
"a04d57b6ac14e5aa8703e8947f981ef97a873974","2018-08-29T02:16:50Z","0","0","0","0","0","0","0"
"d6c72bf8623b3efaebb3e276154cf98f5fdf8af6","2018-08-18T14:40:11Z","98","2660","305","2965","1","1","1"
"e805689aac55021da677d4091b03422bb433ec80","2018-08-18T14:34:44Z","8","23","102","125","1","0","1"
"bd2aeb8cf6b0f3a45a22ad7d297b79342aca6b4f","2018-08-18T14:15:46Z","5","3","49","52","1","0","1"
"f8753b6c9556e6a537aac8d207f273760bb4d157","2018-08-18T14:09:00Z","4","6","7","13","1","0","1"
"d43100ef8b7b65036cfe08b0c5781daca2ff9ed3","2018-08-18T14:06:19Z","0","0","0","0","0","0","1"
"33aa1d35840dfcc7003fb3a0bbe5eed9d78f1401","2018-08-18T14:05:27Z","5","6","68","74","1","0","1"
"81170d34c44a39f6d754e6cb83317f0b99e2c695","2018-08-18T13:08:13Z","5","7","6","13","1","0","1"
"3f67f5e7abbfe5f029bc0b14971672f077a7b614","2018-08-18T13:04:23Z","8","84","23","107","1","0","1"
"a8a419b908a2832d793e02c3a191fbb8abb611b0","2018-08-18T13:00:59Z","7","28","36","64","1","0","1"
"ababbda8f09d9c7fa840b2473c83a4900f31fd6a","2018-08-15T18:24:54Z","0","0","0","0","0","0","0"
"b5dc527a967ec52342fcd6eb4aa8b62e83fae1e5","2018-08-13T20:21:15Z","1","23","12","35","1","0","0"
"dc4709fa2a4ec10e937c1a05ce700deaccd528a8","2018-08-13T20:19:11Z","3","5","5","10","1","0","0"
"4f8d53bdde77cf0d249fee6f4e4f8c9daf2eee35","2018-08-13T20:14:43Z","2","3","8","11","1","0","0"
"e3ca3032f41b97c4f60baacde9f82ac9401b7d44","2018-08-13T19:58:53Z","0","0","0","0","0","0","0"
"4013f7a0650ae0dfbfe62dd59b9650041be9bc2c","2018-08-12T21:31:16Z","2","16","20","36","1","0","0"
