"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"28b8e40d7afdb7e143e0c50de5acbfc7127ae88f","2018-09-24T16:01:57Z","0","0","0","0","0","0","0"
"34ca7abf5bfffd6fd8b752b5ab173b38a052a904","2018-09-24T15:37:01Z","0","0","0","0","0","0","0"
"78e135200c34966af62ba6fd63ca7de3db959e41","2018-09-24T15:26:13Z","1","4","1","5","1","1","0"
"39a07e722f35a27f644b37aa3cbb0a4cc90de246","2018-09-23T19:02:38Z","0","0","0","0","0","0","0"
"c90c959c7fc0fb3e99ef3ed26f144b7ef61ca1fc","2018-09-23T18:53:10Z","1","2","2","4","1","0","0"
"def7afa92fc1ee8492df122c6353ff132008ff43","2018-09-23T17:05:12Z","1","1","1","2","1","0","0"
"b4ec631c7829fc599ba4f31d304094e7587af0d0","2018-09-23T16:50:34Z","0","0","0","0","0","0","0"
"6b7608efe88ece48c3f491e8dd3820604159e835","2018-09-23T16:39:19Z","1","0","8","8","1","0","0"
"e8640f5f32ce0638c239f5fb0534e394b3c2536d","2018-09-23T15:59:07Z","0","0","0","0","0","0","0"
"17f8ad06412135e914e364a995dd015bbf8953d2","2018-09-23T15:06:30Z","0","0","0","0","0","0","0"
"585ab5eb5707b48938bcbe3885590e2722bbf033","2018-09-23T15:03:57Z","2","2","2","4","1","0","0"
"f580debbb9c26f5d4c5aed680744c1701ad11cd3","2018-09-23T13:26:24Z","0","0","0","0","0","0","0"
"146179d3846c2835b2f0379c7693a6c42b8e9d06","2018-09-23T13:20:31Z","2","5","6","11","1","0","0"
"67fc5a189567f52298ab5a3e4da1dcf7deee1b69","2018-09-23T12:27:24Z","6","28","12","40","1","0","0"
"dea702f60ccc6804dc7132b37c6b047023c7b9c1","2018-09-23T11:56:21Z","0","0","0","0","0","0","0"
"5ea383c93e662ec80ab4121fa10dd3fb48b5011d","2018-09-23T11:36:34Z","0","0","0","0","0","0","0"
"b1b15569c674a098c4bdb0588b39d87f02b17d0f","2018-09-22T19:44:59Z","1","31","16","47","1","0","0"
"54fce811ebd1d1d4dd179db933cc4f18ce80c787","2018-09-22T18:51:33Z","7","42","24","66","1","0","0"
"4d8f92e8ef88be7ccc4e0b17a0d7b6fa1617ffca","2018-09-22T17:32:19Z","1","1","1","2","1","0","0"
"e43791d4a15401d4433a0645614351ca26ed0fdb","2018-09-22T17:22:50Z","11","107","165","272","1","0","0"
"a75d82f983411f28df3f608f86c6d06074bd7e83","2018-09-22T16:04:13Z","11","44","112","156","1","0","0"
"1e1d9e85e6d4d296b995dedc145ddedfefb0ff9f","2018-09-22T15:08:41Z","2","7","8","15","1","0","0"
"88b0812b61474df39ac4201ccfc7da3f1de816d7","2018-09-22T14:45:23Z","4","1","32","33","1","0","0"
"7f50ed991a0587085014daf5d5deee779e9ed415","2018-09-22T13:15:11Z","0","0","0","0","0","0","0"
"f7966b9bada9227cd1bec4433fb56dc4bb3f8bcb","2018-09-21T10:36:13Z","1","31","6","37","1","0","0"
"68c4e2cd2664ace7d10f090bf04d3852713ccdf1","2018-09-21T10:16:56Z","0","0","0","0","0","0","0"
"90f5e2cbabfaea24def7d4336612ea4d21f472fc","2018-09-21T10:03:01Z","0","0","0","0","0","0","0"
"ce33c420cd32ec70aea5c56324eab58272ac2e67","2018-09-18T10:47:59Z","0","0","0","0","0","0","0"
"4eae26a35367fc5635b6b10d00327a2f39fb8f20","2018-09-15T21:04:50Z","7","43","12","55","1","0","0"
"a1755156e2da257b0c3708bfbf34d876d91dfb2c","2018-09-15T20:33:15Z","8","313","3","316","1","0","0"
"d6dc40b49e7243fb782009de451db390b67fd67c","2018-09-15T19:47:45Z","1","40","1","41","1","0","0"
"7d9f6779483896972180d82e171ae729927a7327","2018-09-15T19:27:08Z","1","18","1","19","1","0","0"
"347306536c0fb0befd434e29f0f4bc59a7e9b085","2018-09-15T18:40:11Z","0","0","0","0","0","0","0"
"b30db36033b64e34173795f2378d841f0758531c","2018-09-15T18:23:11Z","1","2","1","3","1","0","0"
"52b8cbb3a2d023d7edf1458578ed49ddc005d1c3","2018-09-14T08:08:24Z","1","2","2","4","1","0","0"
"e56731d78b0422e19eb79f19118897314d8625fc","2018-08-24T09:57:44Z","1","1","1","2","1","0","0"
"efd55f8f76811d2f93d8f31c804c36cc6c36f172","2018-08-22T02:43:27Z","1","12","0","12","1","0","0"
"c1ca3fbe535dd96d421f5fe8f6c679d79561cace","2018-08-18T17:28:10Z","2","32","3","35","1","0","0"
"4c8190f6a82bb085a89b94c0e5c953ee2139023e","2018-08-18T17:12:26Z","1","1","1","2","1","0","0"
"b972ca4efb3bb3ec9fb5139ed824631f5e0d787b","2018-08-18T17:01:06Z","1","3","2","5","1","0","0"
"ae7fe92fa5e99f86f7a97120cdf98c474c3d576a","2018-08-18T16:53:25Z","8","38","54","92","1","0","0"
"9ac897f5dbc74a0a81f917bc6d4ac49ae8682de4","2018-08-18T16:06:20Z","3","14","23","37","1","0","0"
"700b3dd351eb4354a65f8a0ff8c7f1f2a347384a","2018-08-18T15:40:31Z","1","39","41","80","1","0","0"
"0af73afa8cda8d4f56107724ac41f063692cd461","2018-08-18T15:05:07Z","2","4","9","13","1","0","0"
"50b1c679434e9ebd1c18e75c64aec3d38ac6f7b1","2018-08-18T14:42:47Z","3","234","234","468","1","0","0"
"7a0f63f74b45df387a5e867f32a119d5d1c9d5e4","2018-08-18T14:41:08Z","0","0","0","0","0","0","0"
"358f3a72e77e815b83b6a44e4751e366d4c81122","2018-08-18T14:25:57Z","1","0","4","4","1","0","0"
"c2d6b3ac14bb423c3210e39702b7c8436ecca5a0","2018-08-18T14:21:39Z","13","65","100","165","1","0","0"
"3ff35766b899cb424b1c5bdf20f5ea124ca921bd","2018-08-18T12:55:14Z","0","0","0","0","0","0","0"
"6fd7c943f2e33452bb940c5a0334104101ddf400","2018-08-18T12:50:36Z","3","691","691","1382","1","0","0"
"3d15669b3bbc1ec2388c7b10a734a5af80ff9ef8","2018-08-18T12:49:20Z","5","17","16","33","1","0","0"
"881d65642b5cc1a22d78c646a3db6ba385814c75","2018-08-16T14:13:25Z","1","1","1","2","1","0","0"
"3957ef2ff70a31e692ffe568b36b311ea5ff48fa","2018-08-16T14:06:02Z","2","9","28","37","1","0","0"
"15af500d4072b49efd9186d00e2cbba06957abe9","2018-08-16T13:59:23Z","2","28","9","37","1","0","0"
"8c2f50e9829ec266a286dd424a8963371f59515e","2018-08-16T13:52:50Z","0","0","0","0","0","0","0"
"1edc7ccc5035d62d67b30f19af7e5239c58ff113","2018-08-16T13:40:04Z","0","0","0","0","0","0","0"
"cafd8768de9449f0af4697723effd8b798fc1716","2018-08-16T13:25:28Z","1","1","1","2","1","0","0"
"862e281d8ac65fc13a998068836927a05041e199","2018-08-16T13:13:19Z","1","1","0","1","1","0","0"
"f0575f294294ee7059166ad1f67e711b1f31f629","2018-08-16T13:10:19Z","0","0","0","0","0","0","0"
"b32e6fa1bc4fe781779e8bcb0da57e069e799e96","2018-08-16T13:07:17Z","1","1","1","2","1","0","0"
"af83c58d4a6857932bfc337b62ecdc830c1e1b9c","2018-08-16T13:05:03Z","1","2","2","4","1","0","0"
"9e8d1d8188755b52cffbb30569eafc80bf802964","2018-08-08T12:23:16Z","1","1","1","2","1","0","0"
"11082cd1f519735f95329ea90ecdabae7ea877b9","2018-08-08T11:40:34Z","1","1","1","2","1","0","0"
"cc70f1ebdf3aba258b87c7e7503c7a560ef8a8c1","2018-08-07T10:43:33Z","0","0","0","0","0","0","0"
"4f75bf336e59e2461f4ae1485c2407ff3f93260c","2018-07-06T15:12:22Z","1","1","0","1","1","0","0"
"86dc203d54914fea32adad841b9e0ca4f1bd55be","2018-07-03T14:14:13Z","0","0","0","0","0","0","0"
"04abd8847513bb18f4e5421da4787c5daafae8cb","2018-07-03T14:11:12Z","4","75","4","79","1","0","0"
"05b2a60c0ea98e5b3a0b08f0c307dc2d399ad680","2018-07-03T13:27:50Z","0","0","0","0","0","0","0"
"ff4378e1cee398f2c216eca73069a155edd43199","2018-07-03T13:05:17Z","3","9","9","18","1","0","0"
"d9355f421f952cfde48946a55c6db8b89e7591da","2018-06-28T14:11:32Z","1","3","3","6","1","0","0"
"2a33c81b170bc7dede314a70725b3aef4d31e19d","2018-06-26T13:52:29Z","0","0","0","0","0","0","0"
"7dc7c1f2d020e16fb8627f07d72203385a13520d","2018-06-26T13:51:10Z","3","215","6","221","1","0","0"
"f930d7fc991d5f432e0960ec222deeb3ffaef2dd","2018-06-24T13:21:51Z","0","0","0","0","0","0","0"
"5e550f9eb95a2b195fe80c9b4b8aaa93438e8df2","2018-06-24T12:53:51Z","0","0","0","0","0","0","0"
"f77e9daa99d28540f495611c162c08141f1050bc","2018-06-24T12:41:06Z","0","0","0","0","0","0","0"
"b528eddcc21a9408d5d563a2f18249365b7f3556","2018-06-24T12:40:38Z","0","0","0","0","0","0","0"
"d0c4c3f07a26c673fc98bad7aa0cf10b282927a8","2018-06-24T12:33:15Z","3","26","12","38","1","0","0"
"399cc2b1a7ae76aff1cc04c42b318b6068b67832","2018-06-24T12:00:03Z","0","0","0","0","0","0","0"
"caf3888118a87cadb5e8c32c1c1e7f0a9cb680f3","2018-06-24T11:23:30Z","3","20","56","76","1","0","0"
"239d3e684c3573f6512c9518a16ccc67292fcf53","2018-06-24T10:40:38Z","6","15","15","30","1","0","0"
"7687f3fc23715a59dd5c77c4c6c3c68bcce71528","2018-06-24T10:07:27Z","7","64","61","125","1","0","0"
"9de5da098bf4cc7a4312303bf1ea3629e9472328","2018-06-24T07:49:59Z","6","58","1","59","1","0","0"
"c3c7ded5e057049c4b86f696ff4b0f842751827c","2018-06-24T07:49:34Z","21","161","68","229","1","1","0"
"3c215422694252747e58d19935d8d6959e1a517b","2018-06-24T07:44:37Z","1","12","12","24","1","0","0"
"eb850d76ca368dc7a3fb821c9a0a7a703351724e","2018-06-24T07:18:35Z","1","13","9","22","1","0","0"
"59c6ffcfd5ed2ad363d3c7903124618565e724f7","2018-06-22T08:35:38Z","0","0","0","0","0","0","0"
"448c455d31795f88cc8c6b838030242d50567dca","2018-06-13T07:29:40Z","0","0","0","0","0","0","0"
"1aac34165c940202ced671a3b02e16ac8dfc560c","2018-06-13T07:29:14Z","2","18","13","31","1","0","0"
"76b629ac5f8320c0b1501b53db358575b32cdf39","2018-06-11T03:17:28Z","2","28","9","37","1","0","0"
"960b8d5f5ab5ad08fd8536c44ece675ecf4fa0ac","2018-06-06T14:09:22Z","1","5","4","9","1","0","0"
