"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"11f2e86e9a1cec80cd1a1e41f270d7e2da6ee781","2018-07-04T08:37:38Z","0","0","0","0","0","0","0"
"50ad167e20f227edc209d60acea2f10377cf214e","2018-07-04T08:23:40Z","5","10","10","20","1","1","1"
"88481dcce172d703e592a6eb1e65c1145ffb9fc4","2018-07-03T12:15:19Z","0","0","0","0","0","1","0"
"78a583d81f64d494f2645d95367fcb36bb7ca67f","2018-07-03T12:14:54Z","0","0","0","0","0","1","0"
"248b57b24c7b5bb1ce4c2fe58b28e6dfd8e240c4","2018-07-03T12:12:05Z","5","242","0","242","1","1","1"
"e9b08db4f9c9618515e614ba98dd882a28f6c365","2018-06-29T01:47:39Z","0","0","0","0","0","0","0"
"e14515bc8c7b88b52eb6531f54dd3bc020a1af74","2018-04-10T08:02:58Z","0","0","0","0","0","0","0"
"8fb1384d2f956061cf189d7142d89aea5cf81908","2018-03-22T05:31:24Z","0","0","0","0","0","0","0"
"145c97c54e6083ba87c082f1821f04515b7b8db5","2018-03-21T07:26:41Z","1","1","1","2","1","0","0"
"329124f87709fd234efbdcaddc560da75d249194","2018-03-21T02:43:07Z","1","2","1","3","1","0","0"
"2f8121df4314f25da62ef94612e1b7ab836e33e2","2018-03-16T08:52:59Z","0","0","0","0","0","0","0"
"38ec173ef6ea4aa7bdb8cb099f158dd96d5a498e","2018-03-12T05:11:51Z","0","0","0","0","0","0","0"
"b3d754dc788cf57f010e77119e1e59625b8598aa","2018-03-06T03:26:42Z","0","0","0","0","0","0","0"
"d81b3e37d9c8e5f30ce1dd55c129133d554f21f9","2018-02-28T01:47:50Z","0","0","0","0","0","0","0"
"0c00aea107326b10908ea778712b5508363ab21d","2018-02-23T03:31:05Z","0","0","0","0","0","0","0"
"3e895047030f011bed7f80f8c11ae471f3b59562","2018-02-07T06:25:18Z","0","0","0","0","0","0","0"
"1ae88c0c74c294828bcc77d58e8fa6938bfe8ad2","2018-02-02T02:17:45Z","0","0","0","0","0","1","0"
"13f2b7d3d932486807ea5b158561b78fa2efcb18","2018-01-30T07:54:17Z","0","0","0","0","0","0","0"
"91f502186cb2aa1c65cd2412d7a2505092570b2b","2018-01-22T08:46:59Z","0","0","0","0","0","0","0"
"123b8a9b08e359cc37bdd2c7999c43d8b85151c2","2018-01-19T00:15:30Z","0","0","0","0","0","1","0"
"c74126f10152d4c9ff17a09f3c9145135ed0813b","2018-01-17T09:10:35Z","0","0","0","0","0","0","0"
"5e03c989438c996e386eb4a0f0a39fc7aebd25fe","2018-01-17T09:06:22Z","0","0","0","0","0","0","0"
"d2f783ab29e188b772844e80b4ca8962c4337049","2018-01-17T09:00:32Z","0","0","0","0","0","0","0"
"09cb4ebb776dca2563c8ee21a00d8285b5877208","2018-01-15T02:53:31Z","0","0","0","0","0","0","0"
"51c9beeb145a309573040454ac0d08118cb2a353","2018-01-08T07:05:41Z","0","0","0","0","0","0","0"
