"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"a8cf62678131626b778d0572290d582f70a2cbfc","2018-10-01T04:11:18Z","2","8","3","11","1","0","0"
"fdde8b006458f7b989c894af0eac7e124d271a1e","2018-09-28T21:38:24Z","29","2472","77","2549","1","1","0"
"4ebb847bceb5ebd5c9fa53574f266c204f6f8ab7","2018-09-22T04:48:13Z","2","36","1","37","1","0","0"
"e116d32b63039fe9f0677f0af76c0a77fe74c82b","2018-09-22T04:43:45Z","2","34","0","34","1","0","0"
"f4cbb689ad7bb03ca6da0d5de3ecb344165f379a","2018-09-17T23:00:15Z","24","623","86","709","1","0","0"
"657e2e832ee31738d70d54a046d4254f3ed8267a","2018-09-14T23:09:36Z","1","146","33","179","1","1","0"
"b58791016424e662c816e2253de96f3771f5d301","2018-09-14T22:08:19Z","2","103","14","117","1","0","0"
"71630081262f4b05e6a86beb7c0c10924e2f04d3","2018-09-14T22:03:48Z","3","345","7","352","1","0","0"
"14870ddd4b87afe3af497ec0569ce439c0488053","2018-09-12T11:32:07Z","1","42","2","44","1","0","0"
"6651a126cd85ced8b26786875b81be140ad97c80","2018-09-12T11:29:13Z","2","142","8","150","1","0","0"
"ef8b5ab263270e41504dddc5fcc8c6b3419e5b4b","2018-09-11T13:23:32Z","11","950","3","953","1","0","0"
"4ad2341c18020ecb08e7e26b79cacc3569b9d31e","2018-09-10T22:17:45Z","3","42","3","45","1","0","0"
"181de25c0dc703eaff77dd6415b676f09564277a","2018-09-10T09:44:50Z","2","2","2","4","1","0","0"
"27db6bd28e3297cdafe19c204b42c3db20c45ad6","2018-09-07T00:49:10Z","1","4","0","4","1","0","0"
"95557a30edbdfdf4479a1cb142e0d82a4ba6061d","2018-09-07T00:34:55Z","2","18","9","27","1","0","0"
"0b65e3d4cbb7647ea692bfea59c02e5b24bf821c","2018-09-05T23:11:01Z","1","1","1","2","1","0","0"
"e501d9cc67fbaa6e825292fd838711259b6c9789","2018-09-05T20:35:38Z","4","260","20","280","1","0","0"
"e7ac12c952b47921bfecbad52112be51f5b9ede5","2018-09-05T14:15:58Z","1","17","1","18","1","0","0"
"687ea7e7cecf1449687e05819502be28cb49cb66","2018-09-04T09:54:23Z","6","51","12","63","1","0","0"
"b7181d2c5a48accbd47e30430ccfe1291a91d900","2018-09-03T09:57:50Z","37","0","0","0","1","1","0"
"4d7b9e8f34775261fed517d232094f0247a4d3cf","2018-08-29T04:26:58Z","4","223","39","262","1","0","0"
"176bd68222f3a3bddac9deb412eee7f538cb01ca","2018-08-21T05:30:53Z","0","0","0","0","0","1","1"
"290f1fc4b907c7d51ec81985e87ef46b8528b8f7","2018-08-17T12:40:02Z","5","29","7","36","1","0","0"
"2584625cdf4bb917192479f637222d6e64518336","2018-08-17T09:56:09Z","13","0","0","0","1","1","1"
"b5d6786b9531240dadc369344098a001430e32b7","2018-08-17T08:34:02Z","0","0","0","0","0","0","0"
"82776922af9a0931e8053c0b93b82311e0f0b4b3","2018-08-14T12:33:45Z","6","300","0","300","1","0","0"
"df2b3f4fd9944f0dd544b808ea3bad702534625d","2018-08-08T04:29:16Z","1","0","3","3","1","0","0"
"cd209456b67cde5aba771b1a240ebe5607398459","2018-08-08T04:21:37Z","16","497","159","656","1","0","0"
"b0df8fe1e10e63aa2b268e126d109cc61ea2d33c","2018-08-06T12:13:17Z","96","2","2","4","1","1","1"
"44d2736124f2292ca167b199df7f0d2373be9310","2018-08-06T12:11:08Z","22","104","55","159","1","0","0"
"e3bae03d20f5d722957897bc1bc97ebeeae5e982","2018-08-06T08:47:35Z","1","18","1","19","1","0","0"
"148c2cd6ba73e66b1879a2e10ecda4ce4e0e2c7b","2018-08-03T16:52:08Z","3","443","134","577","1","0","0"
"7cf8035c3a5ca05bce2d183b41bf410709a5f6ee","2018-08-01T19:19:34Z","2","6","3","9","1","0","0"
"78e4a1047c701006dd4ec8d09065eda0e7adedb5","2018-07-30T04:22:23Z","2","112","6","118","1","0","0"
"932fee861001c158343c0bc64dbe80f253f0bb6d","2018-07-28T02:46:31Z","0","0","0","0","0","0","1"
"2a372fcdce3c0142c0bb23f06098a2c1a49f807e","2018-07-28T02:37:08Z","1","14","16","30","1","0","0"
"726587ef50339f071960d153cc4599882aa71ac7","2018-07-28T02:30:06Z","1","8","1","9","1","0","0"
"01132edbd4df3df4472a2f8d3077fe585035cce1","2018-07-27T10:40:33Z","0","0","0","0","0","0","1"
"ba8932dccb227b5b52de98e33c46054014f951b7","2018-07-27T10:32:45Z","10","258","69","327","1","0","0"
"7b7c6587733dba3c9f3862a034b354d067e0dc47","2018-07-27T03:28:37Z","1","3","0","3","1","0","0"
"9f82798415351a20136ceb1640b1781723e51cc1","2018-07-27T03:16:04Z","5","291","13","304","1","0","0"
"75c652f45090f5309060ab7defb37f337d327d2c","2018-07-27T03:13:22Z","1","2","9","11","1","0","0"
"ed4689fbf81c56f09be26cf32ede66ad191f4aed","2018-07-20T15:40:42Z","0","0","0","0","0","0","1"
"4c12f75a9dd546032eafb2d2840061399c2a6a5e","2018-07-19T17:28:38Z","0","0","0","0","0","0","0"
"fc9c9fc3b2c24f78c90bd4c7b717e3410afd5e58","2018-07-19T17:14:59Z","0","0","0","0","0","0","0"
"25035f10ec188a2f3d5c29dbda4b84391eee267d","2018-07-19T16:58:49Z","1","1","1","2","1","0","0"
"f6bba09481dffc7db1d47be732d3cc8067603767","2018-07-19T03:59:14Z","5","27","20","47","1","0","0"
"81b51554922d4cee5dde4a848a106f286f4c407b","2018-07-18T13:49:21Z","1","4","4","8","1","0","0"
"cea251a185435e88f54efc5defb92ec9584fc80f","2018-07-17T08:41:24Z","1","31","5","36","1","0","0"
"0a311873deb1847703c9b62716c626ce43d4ba48","2018-07-16T03:45:45Z","3","526","79","605","1","1","0"
"28de451aa8b45e94d1261d5e0e369f86bf3815da","2018-07-13T12:58:03Z","13","0","0","0","1","1","1"
"536dda2c48cb76829a738377c1ef2b2a976804ab","2018-07-13T10:47:39Z","1","7","0","7","1","0","0"
"328b9de0152f987429534c8adcb2ce2866c5733e","2018-07-11T23:35:55Z","22","308","196","504","1","0","0"
"c2e7ed1e6f8f2de48778db7f3d63f9629c086ea8","2018-07-11T04:04:17Z","1","58","49","107","1","0","0"
"5fdd70ac49c7a5334bdcae309719ac4ada352dde","2018-07-10T11:29:20Z","7","8","8","16","1","0","0"
"32e4a1676656df57f9c73a249cb88bed5cb927ee","2018-07-10T10:58:32Z","0","0","0","0","0","0","0"
"5d187ff0adc836e6d18fd4c78188f52cdbb56c25","2018-07-10T10:50:07Z","0","0","0","0","0","0","0"
"b593a8de1cc48534661526685e39d812aa680d36","2018-07-10T10:46:36Z","2","58","6","64","1","0","0"
"25fd549dcd4e01de073a2e25ef07c170389b28ea","2018-07-04T15:11:39Z","3","22","4","26","1","0","0"
"4607a3e156f36c52349bfb370e879dbd9e4d0691","2018-07-04T11:02:19Z","1","0","0","0","1","1","0"
"3465e0ced5edda2e1299662f6b75a1979b6bdc6e","2018-06-26T09:18:38Z","9","140","14","154","1","0","0"
"1fb644662b8e0530dec2c5668a3e49b3f614e9de","2018-06-25T10:30:19Z","2","47","4","51","1","0","0"
"2a951868bda3b7343069f9155f6404c3d9d5aa8e","2018-06-20T13:22:30Z","3","69","1","70","1","0","0"
"13dd5d0db7a5c4fa926d1e44fc2047c24d5d012c","2018-06-15T06:02:41Z","1","4","1","5","1","0","0"
"d6490d590725345638b5973a97e6e8d8bee67d22","2018-06-15T05:41:07Z","3","12","9","21","1","0","0"
"a2623a625a4778720f7d5482d0a66e9b37ae556f","2018-06-08T14:52:58Z","12","241","1","242","1","1","0"
"a35690cd60c1d5010454056b7011e3abbbbe9116","2018-05-31T19:57:21Z","0","0","0","0","0","1","0"
"4c5674ce4ca1ca473c897bfe8d7f848227e8b706","2018-05-31T03:54:52Z","0","0","0","0","0","1","0"
"1c3aac025528faf8c776f5b715c23c4cc58138b8","2018-05-30T00:28:51Z","0","0","0","0","0","1","0"
"fa34d0d01e33a40465ebd72497f37d62f0a4bce0","2018-05-30T00:02:56Z","1","1","1","2","1","1","0"
"9c4bd4d335c52beb44f303b8b6e0abfe03cb9241","2018-05-29T23:27:43Z","0","0","0","0","0","0","1"
"07228badc4691ca96f0d35e5aaa5ebcb2b9891cb","2018-05-23T03:42:47Z","0","0","0","0","0","0","0"
"24f093b9c10bcfa5f890f378087e48736ed5bac5","2018-05-23T03:34:19Z","1","11","12","23","1","1","0"
"ae6ee236658e8133b0f3cb950d6d4c97553b8eb7","2018-05-22T04:37:04Z","0","0","0","0","0","1","0"
"587898ac9fc2a8588971197b977ecd9c00a7221e","2018-05-21T18:12:40Z","2","7","2","9","1","0","0"
"dacd27568c0a20244d40f42ff8ee84b5f917128e","2018-05-16T17:30:31Z","1","1","1","2","1","0","0"
"2fa315b7d0ed65828479fcdcc9e76ca8552fba4a","2018-05-10T20:14:24Z","2","16","20","36","1","0","0"
"6e64125f2aafc29253904c43ee44233c907e5fca","2018-05-10T04:13:16Z","4","5","13","18","1","0","0"
"088dfdf188663f6bad79b0e87b710737b318537d","2018-05-10T04:00:15Z","5","379","146","525","1","0","0"
"43f117ef5098573d7378956358c653475a4b993e","2018-05-09T22:14:18Z","1","52","0","52","1","0","0"
"ceaeccd6e310983d37e685a9d5fff3d7e75cf125","2018-05-09T21:57:41Z","18","592","56","648","1","0","0"
"b1f6279a8c4708d1df7dd1128dc4fdf41fc7e24a","2018-05-08T22:54:02Z","1","3","0","3","1","0","0"
"2022766ec907f63b1b43fc5455e9e7761cd332f6","2018-04-30T04:34:57Z","2","140","21","161","1","0","0"
"5c96887643b2465caabbfd4763c7ebb3cd1aa024","2018-04-27T18:28:15Z","3","26","0","26","1","0","0"
"2c0168ad37b529447ac8cb1bf866d014f8a97981","2018-04-26T22:21:36Z","2","31","1","32","1","0","0"
"79627c6e07a901150709896f7c22597164badfc5","2018-04-25T22:17:09Z","0","0","0","0","0","1","0"
"3783ed58656f8719d7213329451f396f5c1e3dce","2018-04-24T23:41:54Z","4","138","126","264","1","0","0"
"cb6cae91c71b679d5bbc3fb48bf707fd1bb14493","2018-04-24T00:25:44Z","0","0","0","0","0","0","0"
"154f9c536f7c696b774361937c6b4b08603d16cf","2018-04-23T22:20:26Z","7","590","74","664","1","0","0"
"519db3f5c585f63a0a55e9f7929a07f9715bd729","2018-04-17T04:57:24Z","0","0","0","0","0","1","0"
"9ba4aeb4f92c1fc3167ff8e2b56e02f3e344d3ba","2018-04-16T04:29:43Z","0","0","0","0","0","0","0"
"67378512285c4b8dc9be50b90bbd2967068fc24e","2018-04-16T04:22:25Z","0","0","0","0","0","0","0"
"fbd21329d32f185d198344f2d394175c92a82f9e","2018-04-06T04:04:07Z","2","18","1","19","1","0","0"
"13c9f899ff62be6a2eacb28e522d06703f1dab08","2018-03-26T02:19:01Z","0","0","0","0","0","0","0"
"29a892907eb175adc0c6908a1fde3e7bf8d655b6","2018-03-26T02:16:35Z","0","0","0","0","0","0","0"
"8cfca3add9c7fd705f9114daf4adaac9fc90f040","2018-03-26T01:49:14Z","1","3","3","6","1","0","0"
"99c9bbb0ab1eef469e1662086532c58078b9909a","2018-03-05T02:51:25Z","0","0","0","0","0","1","0"
"ecb1162ec7f381963fb3263c7971a85fc35b27c8","2018-03-02T22:12:17Z","0","0","0","0","0","0","0"
"722ba9409a44a35d287aac803813f508cff2420a","2018-02-23T22:49:00Z","4","209","45","254","1","0","0"
"f0b67b6e49acec5f022bee25e08f82a29572c97a","2018-02-20T22:38:00Z","1","1","1","2","1","0","0"
"bebe4162bc915b15b4fd90df9446bdf9f83ef3a8","2018-02-14T20:23:30Z","5","265","85","350","1","0","0"
"aefb13f2b289e19e32c0fcc5714711b07989d67f","2018-02-07T00:05:18Z","18","735","43","778","1","1","0"
"069c3e4fccbd56307b19b57864fbf6312ace2219","2018-02-01T23:26:58Z","1","3","1","4","1","0","0"
"66554218a557cbc86924354bdb20e20b20ff934f","2018-01-30T20:56:37Z","1","10","2","12","1","0","0"
"d1b07d588e445085eff4abeb42cf730cc7c57e83","2018-01-30T07:02:41Z","1","1","5","6","1","0","0"
"78708a8587841ccdcb3d07f33d3114e0c8cfc380","2018-01-19T00:12:03Z","1","2","2","4","1","0","0"
"77d6b763a7772553ecfa81e3d3ef177452ad16a7","2018-01-18T23:52:43Z","1","3","2","5","1","0","0"
"4d629d289fc4b1079fff2244b92a337e4068e240","2018-01-18T23:43:11Z","3","142","30","172","1","0","0"
"e129e7a0b64d6555460d240be2d79e53aaa1bef9","2017-12-19T18:27:25Z","1","17","17","34","1","0","0"
"f2cbcc7e0d7adff08bd73a27f2193b1198e4c7f7","2017-12-16T00:25:30Z","3","151","121","272","1","0","0"
"aa8b60670875e509dc22f338aebcc023c166d880","2017-12-13T22:00:08Z","2","22","20","42","1","1","0"
"9e30b9bf8fac56db3846c8cc42997cdc23a9358d","2017-12-12T18:44:32Z","0","0","0","0","0","0","0"
"dcfbe45241855f2caccf3848be2e66e7aa23aa96","2017-12-12T18:39:45Z","0","0","0","0","0","0","0"
"665038e0698cd471a25b7ead4c8a50f767a3e7ed","2017-12-06T22:54:44Z","0","0","0","0","0","0","0"
"d857e042fe4d188a7ba750ea6947f93f39cb7ed1","2017-12-06T22:14:10Z","2","212","281","493","1","0","0"
"75411ab34a3d53c43c2d508b12314a9788aa417d","2017-11-27T23:10:13Z","48","3708","396","4104","1","1","0"
"748585d200da3a137f6ee37ee543d4f32c30d9c6","2017-11-22T20:13:55Z","0","0","0","0","0","0","1"
"81fe5262fe9ba47f716fc5b786cffe3d83f51c05","2017-11-22T17:42:56Z","0","0","0","0","0","0","1"
"851075b5e388525a89fb0579150c2a3ed9e59bcd","2017-11-21T18:20:33Z","1","10","5","15","1","0","0"
"cbe524cdccd5f8fc52bc3644ca15a5fd85347600","2017-11-21T17:45:52Z","1","0","0","0","1","0","0"
"b5621c698baf5d3258ebcf9342a23aa4889d03ca","2017-11-21T17:38:20Z","1","1","1","2","1","0","0"
"f299303add79250ec2181f6c03b15e3754825284","2017-11-15T23:21:33Z","2","23","9","32","1","0","0"
"f6d2abf58adeda5a8c5da8192ea4a6549285e561","2017-11-15T22:08:13Z","0","0","0","0","0","0","0"
"0fe7a09ab57c73c3a5c91e68a889f600c0739136","2017-11-15T21:44:29Z","1","3","4","7","1","0","0"
"efeebd0a1ba7f6be3b4ffe262ab4045656bb1eb3","2017-11-15T20:27:10Z","1","0","0","0","1","0","0"
"1392a8b3d8ac3d042a51dac18e33e144674b1b5b","2017-11-03T04:04:56Z","2","172","19","191","1","0","0"
"c510be675d4b532d552a2f0bfa9df5d6feef1a9b","2017-11-01T16:51:24Z","0","0","0","0","0","1","0"
"98ff4f9dd9b67503ffa3f5852df499a46efd6241","2017-10-13T23:14:04Z","1","0","0","0","1","0","0"
"575e850c4d75191e27368e87ad5945cc5aba673d","2017-10-11T14:28:25Z","0","0","0","0","0","1","0"
"43a50ebc658dd25b8b9f9f91cf4c32c2c0e3e000","2017-10-10T18:50:22Z","0","0","0","0","0","0","0"
"194f43e749e231f78b31cbbe040eed37385209aa","2017-10-09T17:57:13Z","0","0","0","0","0","1","0"
"fb10c2b54698c8aab4477670bb0d6f7fe99c5c43","2017-10-07T19:22:42Z","4","5","4","9","1","0","0"
"aa35571ea2be1791430349fcc1485b1bdccec6a1","2017-10-04T17:26:21Z","1","0","3","3","1","0","0"
"54cd7519a3afc43dabbf49490b9b012d6be68fee","2017-09-29T22:54:07Z","0","0","0","0","0","1","0"
"086359a6945df3ea5548c7a65730294cf612ce66","2017-09-28T03:09:59Z","0","0","0","0","0","1","0"
"0fee905684a82eefb2d7d4a999290fb2f2378b41","2017-09-27T22:18:15Z","0","0","0","0","0","0","0"
