"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b44c60df97ec1ee374b2162bcda46992c8c20030","2018-09-29T00:45:42Z","1","8","0","8","1","0","0"
"16bf0eac5a1023b27d58daa6bd7178aeb6bdfeac","2018-09-29T00:42:35Z","7","0","493","493","1","0","0"
"861fb24b1902c864ed22720dd5865d2547be45fc","2018-09-26T21:40:06Z","1","7","6","13","1","0","0"
"2f86aaf3a8d056386c5e7d57e2c377545bba07be","2018-08-28T23:33:21Z","3","25","8","33","1","0","0"
"7e38589385b854110bc8c2e83c89f5adba9486ae","2018-08-24T16:25:53Z","3","24","11","35","1","0","0"
"8d07bd341850d816ce2634aa47a98ba9c0a6a1cc","2018-08-24T16:24:45Z","1","7","4","11","1","0","0"
"eb30e2f4b1b9060d3160ab80bc0a745baa1d2148","2018-08-24T03:02:18Z","1","4","4","8","1","0","0"
"ca6f8196a0280f560863eb636d9d47f9ee138778","2018-08-24T02:26:42Z","3","24","11","35","1","0","0"
"d7305a41c223281dcfca342c024c6e39a6357f99","2018-08-23T20:27:51Z","8","36","13","49","1","0","0"
"331cc8e9fc4a2263d0bbf8f3dfdbd865b358e0b6","2018-08-19T21:18:54Z","1","3","1","4","1","0","0"
"dc02b3a0e711d29430ecaac3b4cb86ec078eadc9","2018-08-19T21:18:04Z","1","17","11","28","1","0","0"
"c680483840ae0c3571dbf65812fba98458948858","2018-08-18T00:38:04Z","1","7","2","9","1","0","0"
"a1e758a2641fa8cd4264f33fd2c04ae07c4bbf70","2018-08-11T00:19:30Z","2","7","3","10","1","0","0"
"e67a293cdf30207ab7aa4709a2627527896a3d88","2018-08-09T20:08:47Z","1","1","1","2","1","1","0"
"454cf61200e8cc14876d07fc754796f96c06c8d7","2018-08-09T19:28:08Z","3","65","47","112","1","0","0"
"bc0d1b8bbb6a6cea9a253f8c7a528a814535b1e6","2018-08-09T18:15:56Z","1","1","1","2","1","0","0"
"da4a19ffc48d1c261c13c4ab212a23d7408091a6","2018-08-06T19:21:06Z","1","6","0","6","1","0","0"
"5cb0453d0687cbf35396c5090f0e7d8abfc6f43a","2018-08-02T23:01:24Z","2","28","1","29","1","0","0"
"831442822cf5edc62b48a353e9ffbbfee016eb09","2018-07-31T20:40:56Z","1","4","2","6","1","0","0"
"6e47db17395690d8b569aa99fe484dd24df81a33","2018-07-30T22:38:19Z","1","2","2","4","1","0","0"
"a3619e3af45661e04ed933e5439fdbccd45ef786","2018-07-30T18:32:46Z","3","8","0","8","1","0","0"
"beb0bf572c1e0054084369ed753a901cd522d191","2018-07-24T00:01:49Z","3","0","16","16","1","0","0"
"c626baac0eeb38f277adeb444028254c1efe6cc3","2018-07-21T03:22:57Z","1","3","1","4","1","0","0"
"dfea2f8f5deffee3bfbf4dc64f11d14f40f55692","2018-07-20T20:04:07Z","1","43","14","57","1","1","0"
"cbd808a2ae098b95e23e08d5901ac66cd503fef4","2018-07-20T20:03:16Z","4","57","7","64","1","0","0"
"946dafb5ef117c21ce085b918c2d08d6ec19b1be","2018-07-20T19:37:27Z","0","0","0","0","0","1","0"
"e24537cef4a1858164f4f058a6585d22e755d9ad","2018-07-20T18:07:41Z","1","43","14","57","1","0","0"
"2f96c17ad59e4986b2db10c08be67e818bb4bf6a","2018-07-17T23:16:10Z","1","29","30","59","1","0","0"
"d1b1d8ed7b6c66e37586e3e057388696aa4ab95b","2018-07-13T22:54:07Z","2","16","3","19","1","0","0"
"0c48406691ba164b7bcefbc0f4a16d508a5444ae","2018-07-13T21:55:56Z","1","1","1","2","1","0","0"
"55a1da806129aff677c479f0f0841912eab029f5","2018-07-13T21:37:57Z","2","17","6","23","1","0","0"
"c7b0fb111645eaf29beb49a1ab5ad606e4c91da8","2018-07-10T03:32:13Z","2","10","1","11","1","0","0"
"921949b7b6aaa07635e2ce2526ce7bf762eb6fa5","2018-07-09T23:39:56Z","2","122","268","390","1","0","0"
"469bc3ef6ee1bccc3356bed710b55100a56a812b","2018-07-09T22:51:59Z","2","6","8","14","1","0","0"
"5013b365bcf2662c96309562294246b569b9e40f","2018-07-06T19:57:03Z","0","0","0","0","0","1","0"
"0e65b6e27cee748adb1b26b01148479044939fc9","2018-07-06T02:28:41Z","3","11","11","22","1","1","0"
"5f5f3199e5871e106cd5d832827cf6534d444274","2018-07-05T22:18:12Z","0","0","0","0","0","1","1"
"e75bf502070a7c20afae3dc549207498c1e28a60","2018-06-29T20:09:25Z","1","1","1","2","1","0","0"
"c34a5e47562b379d84ece323a8729985649b60cd","2018-06-26T17:16:33Z","1","37","2","39","1","0","0"
"95aa220eecb9dbd97c3f3134b32aa25d5322e155","2018-06-22T19:04:30Z","1","4","2","6","1","0","0"
"fe942fde4377a91b9fae7187ae3e3a8547d4f991","2018-06-21T18:21:20Z","1","37","2","39","1","0","0"
"9c848c10b274f11f6a54152a4231dbc832936c13","2018-06-21T17:33:39Z","1","4","2","6","1","0","0"
"6b503d781a6ddbb5db5770dbe51f99041af1bb79","2018-06-18T20:51:00Z","1","1","0","1","1","0","0"
"599fd1eb9f57a582b7b6c1847061729f8bae622d","2018-06-18T16:51:15Z","2","14","0","14","1","0","0"
"dd66481f813f464e1e555201b661895587201bce","2018-06-14T22:28:53Z","1","1","0","1","1","0","0"
"0b69734b26a10cd89841242f789fce408c6f3b64","2018-06-14T22:26:34Z","1","2","3","5","1","0","0"
"f036784d36f536b3125c219c6e39b89572acab50","2018-06-14T22:26:28Z","1","1","0","1","1","0","0"
"c54e13b63596f69e773d1140992d829746a3a631","2018-06-13T18:35:43Z","2","0","14","14","1","0","0"
"816c8bac9bc74c1a473944c19a282ad44f0cc230","2018-06-12T18:17:25Z","2","14","0","14","1","0","0"
"b3f39ce8ab1c52985843870b9fa8a99334ff5cda","2018-06-12T17:36:26Z","1","2","3","5","1","0","0"
"781ef64f80d0c81f353077e2a19fbf1e2f3c3e62","2018-06-08T21:10:45Z","10","249","124","373","1","0","0"
"025ad8f63b08743975f8fb2b863364e47eefe14b","2018-06-08T21:00:26Z","10","249","124","373","1","0","0"
"a1e07fa73e17b58460d9287baeb1940d46fe18d2","2018-06-04T20:29:09Z","1","7","4","11","1","0","0"
"d5e54cf131435b20229395d38b23b17a59184773","2018-05-29T23:14:40Z","2","9","5","14","1","0","0"
"81d141f6dfca19b964d1b99aca5000873fa8c282","2018-05-24T19:13:08Z","0","0","0","0","0","1","0"
"c6f4d358f3f2b0b44f8ee4a4e96935b3e003be0b","2018-05-22T17:32:42Z","21","1266","6","1272","1","0","0"
"6e73878c0a1e3200f6b5623267e06c13f2e9d898","2018-05-22T17:29:07Z","1","1","1","2","1","0","0"
"8bde01cfe5dacb3f3f251ca62a5ab02df2fb3d4b","2018-05-22T17:27:42Z","5","37","3","40","1","0","0"
"2e163875b55ca6bfaaaecb498beea47329ee010b","2018-05-22T17:10:26Z","2","6","6","12","1","0","0"
"7afcf995175e1d6697107985e0ec88faa3b2aaaf","2018-05-21T20:13:34Z","5","37","3","40","1","0","0"
"ef10aed65195440a048b77142ac09ca4ec0adf2e","2018-05-16T23:29:37Z","19","285","0","285","1","0","0"
"d243a9b23a08294c463b26d0ef8322bebe3d7a32","2018-05-16T21:31:55Z","23","412","57","469","1","0","0"
"dffab9920343ac0f8f04f956cccf5562517ab2af","2018-05-16T21:31:49Z","16","839","26","865","1","0","0"
"fc9106380c939ee3794ef0d4a30aca9ac10ff77c","2018-05-16T18:29:42Z","2","13","19","32","1","0","0"
"d5cab9a7dfaf922ce1fd58338d4e446e45003ece","2018-05-16T18:15:51Z","4","95","15","110","1","0","0"
