"fullname","number_contr","sloc","number_pullR","number_issues"
"aosp-mirror/platform_frameworks_base",154,2367689,65,130
"facebook/facebook-android-sdk",60,56874,0,0
"robolectric/robolectric",204,138982,81,572
"k9mail/k-9",191,92752,34,849
"pockethub/PocketHub",116,15718,3,123
"zxing/zxing",89,43625,0,8
"greenrobot/greenDAO",6,19661,45,168
"signalapp/Signal-Android",175,87075,76,247
"androidannotations/androidannotations",58,37505,2,65
"MinecraftForge/MinecraftForge",280,89368,66,154
"commonsguy/cw-omnibus",4,98319,1,1
"iBotPeaches/Apktool",47,11936,5,132
"realm/realm-java",80,91967,26,436
"greenrobot/EventBus",20,5333,34,97
"chrisbanes/PhotoView",32,1581,6,101
"libgdx/libgdx",345,275900,84,325
"owncloud/android",64,40553,51,370
"ACRA/acra",40,8423,3,8
"journeyapps/zxing-android-embedded",24,4939,2,126
"apache/cordova-android",160,5021,5,22
"koral--/android-gif-drawable",15,3293,1,27
"square/android-times-square",51,2340,2,25
"LitePalFramework/LitePal",4,12118,4,19
"JakeWharton/butterknife",77,11716,20,90
"facebook/buck",310,681602,36,416
"eugenp/tutorials",320,267558,30,34
"square/picasso",89,9558,16,166
"googlemaps/android-maps-utils",56,11250,7,137
"koush/ion",29,9178,8,300
"joelittlejohn/jsonschema2pojo",76,17640,11,98
"johncarl81/parceler",20,9789,0,21
"bumptech/glide",83,68486,6,133
"JakeWharton/timber",38,1747,10,40
"evant/gradle-retrolambda",24,1855,2,72
"Bilibili/DanmakuFlameMaster",18,10381,2,198
"davemorrissey/subsampling-scale-image-view",20,3995,5,20
"square/flow",21,3373,5,37
"Bearded-Hen/Android-Bootstrap",24,12221,5,29
"JakeWharton/u2020",37,5560,2,14
"leolin310148/ShortcutBadger",31,1040,3,127
"CellularPrivacy/Android-IMSI-Catcher-Detector",89,11259,4,142
"chrisjenx/Calligraphy",35,1031,14,135
"CalebFenton/simplify",5,20678,0,13
"siacs/Conversations",99,49541,40,335
"dm77/barcodescanner",25,2947,13,186
"PhilJay/MPAndroidChart",67,24910,49,1294
"seven332/EhViewer",17,39738,4,152
"izzyleung/ZhihuDailyPurify",1,1703,0,0
"google/tink",31,34694,4,30
"bazelbuild/bazel",351,714254,63,1640
"google/ExoPlayer",125,127963,17,305
"daimajia/AndroidViewAnimations",17,1521,6,46
"kaushikgopal/RxJava-Android-Samples",21,3334,6,9
"diogobernardino/WilliamChart",10,5200,1,21
"ReactiveX/RxAndroid",58,1251,1,3
"pushtorefresh/storio",16,39871,2,36
"Raizlabs/DBFlow",51,14203,2,35
"google/physical-web",52,7217,3,91
"googlesamples/android-testing",25,2341,8,44
"andkulikov/Transitions-Everywhere",6,8581,2,5
"bingoogolapple/BGABanner-Android",2,2160,0,59
"mikepenz/Android-Iconics",25,14156,1,2
